"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/26/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/25/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/24/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/23/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/20/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/19/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/18/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/17/2020","34.05","34.05","34.05","34.05","","0.00%"
"03/16/2020","34.05","34.05","34.05","34.05","","-5.55%"
"03/13/2020","36.05","36.05","36.05","36.05","","0.00%"
"03/12/2020","36.05","36.05","36.05","36.05","","0.00%"
"03/11/2020","36.05","36.05","36.05","36.05","","-2.70%"
"03/10/2020","37.05","37.05","37.05","37.05","","0.00%"
"03/09/2020","37.05","37.05","37.05","37.05","","-10.83%"
"03/06/2020","41.55","41.55","41.55","41.55","","-5.68%"
"03/05/2020","44.05","44.05","44.05","44.05","","-2.22%"
"03/04/2020","45.05","45.05","45.05","45.05","","0.00%"
"03/03/2020","45.05","45.05","45.05","45.05","","0.00%"
"03/02/2020","45.05","45.05","45.05","45.05","","0.00%"
"02/28/2020","45.05","45.05","45.05","45.05","","0.00%"
"02/27/2020","45.05","45.05","45.05","45.05","","0.00%"
"02/26/2020","45.05","45.05","45.05","45.05","","2.27%"
"02/25/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/24/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/21/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/20/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/19/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/18/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/17/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/14/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/13/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/12/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/11/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/10/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/07/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/06/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/05/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/04/2020","44.05","44.05","44.05","44.05","","0.00%"
"02/03/2020","44.05","44.05","44.05","44.05","","-4.34%"
"01/31/2020","46.05","46.05","46.05","46.05","","0.00%"
"01/30/2020","46.05","46.05","46.05","46.05","","0.00%"
"01/29/2020","46.05","46.05","46.05","46.05","","0.00%"
"01/28/2020","46.05","46.05","46.05","46.05","","0.00%"
"01/27/2020","46.05","46.05","46.05","46.05","","1.10%"
"01/24/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/23/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/22/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/21/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/20/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/17/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/16/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/15/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/14/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/13/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/10/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/09/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/08/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/07/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/06/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/03/2020","45.55","45.55","45.55","45.55","","0.00%"
"01/02/2020","45.55","45.55","45.55","45.55","","0.00%"
