"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","2,057.40","2,144.72","2,172.81","2,041.14","","-3.66%"
"03/12/2026","2,135.50","2,180.45","2,207.18","2,121.69","","-1.73%"
"03/11/2026","2,173.01","2,200.40","2,235.75","2,163.03","","-1.43%"
"03/10/2026","2,204.45","2,183.45","2,250.89","2,150.01","","0.84%"
"03/09/2026","2,186.14","2,142.35","2,193.18","2,025.34","","2.09%"
"03/06/2026","2,141.35","2,126.15","2,179.25","2,089.07","","0.71%"
"03/05/2026","2,126.25","2,156.00","2,226.69","2,098.45","","-1.38%"
"03/04/2026","2,156.00","2,090.10","2,200.05","2,085.80","","3.15%"
"03/03/2026","2,090.10","2,310.40","2,342.77","2,009.18","","-9.54%"
"03/02/2026","2,310.40","2,369.39","2,442.01","2,259.12","","-2.48%"
"02/27/2026","2,369.25","2,279.00","2,415.36","2,256.80","","3.96%"
"02/26/2026","2,278.95","2,291.85","2,327.04","2,207.74","","-0.56%"
"02/25/2026","2,291.85","2,173.00","2,352.57","2,155.50","","5.46%"
"02/24/2026","2,173.20","2,159.00","2,204.46","2,092.25","","0.66%"
"02/23/2026","2,159.00","2,164.00","2,209.75","2,107.98","","-0.09%"
"02/20/2026","2,161.05","2,076.40","2,175.55","2,054.63","","4.08%"
"02/19/2026","2,076.40","2,077.00","2,116.09","2,049.20","","-0.03%"
"02/18/2026","2,077.00","2,018.10","2,112.02","2,003.45","","3.23%"
"02/17/2026","2,011.94","2,045.72","2,050.02","1,985.14","","-1.65%"
"02/16/2026","2,045.72","2,067.90","2,080.50","2,011.39","","-1.05%"
"02/13/2026","2,067.50","2,009.05","2,099.59","1,983.94","","2.91%"
