"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2026","37.11","37.48","38.01","36.56","441.03K","6.03%"
"03/11/2026","35.00","38.19","38.24","35.00","1.07M","-7.53%"
"03/10/2026","37.85","37.86","38.00","37.59","480.93K","0.69%"
"03/09/2026","37.59","37.99","38.20","37.41","1.51M","-0.79%"
"03/08/2026","37.89","38.53","38.88","37.75","502.25K","-1.20%"
"03/05/2026","38.35","38.18","39.59","38.06","1.60M","1.32%"
"03/04/2026","37.85","39.29","39.48","37.85","1.08M","-3.67%"
"03/03/2026","39.29","39.80","39.99","38.60","399.06K","-1.75%"
"03/02/2026","39.99","40.50","40.85","39.90","519.35K","-1.26%"
"03/01/2026","40.50","38.50","40.75","37.51","1.21M","-1.22%"
"02/26/2026","41.00","41.50","41.50","40.25","7.29M","-4.21%"
"02/25/2026","42.80","40.88","42.80","39.50","1.30M","4.67%"
"02/24/2026","40.89","40.30","40.89","39.52","847.90K","1.46%"
"02/23/2026","40.30","39.60","40.30","39.26","574.50K","2.00%"
"02/22/2026","39.51","40.15","40.57","38.93","620.37K","-1.32%"
"02/19/2026","40.04","41.19","41.28","39.80","407.69K","-2.79%"
"02/18/2026","41.19","40.83","41.29","40.40","1.33M","0.54%"
"02/17/2026","40.97","41.47","41.50","40.80","361.13K","-1.23%"
"02/16/2026","41.48","40.55","41.95","40.25","1.38M","2.29%"
"02/15/2026","40.55","40.70","40.87","40.09","659.73K","-0.27%"
