"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2026","79.03","79.90","80.00","79.01","108.21K","-0.59%"
"03/11/2026","79.50","79.81","79.95","79.11","119.76K","0.13%"
"03/10/2026","79.40","79.90","80.17","79.25","139.38K","0.23%"
"03/09/2026","79.22","81.00","81.49","79.22","654.80K","0.03%"
"03/08/2026","79.20","77.94","79.50","77.90","194.43K","1.63%"
"03/05/2026","77.93","78.29","79.99","77.90","171.63K","-0.09%"
"03/04/2026","78.00","77.43","78.10","76.52","165.55K","1.75%"
"03/03/2026","76.66","77.50","77.59","75.91","130.49K","-0.20%"
"03/02/2026","76.81","76.71","77.99","75.90","297.20K","1.27%"
"03/01/2026","75.85","75.10","76.69","73.25","856.55K","-2.12%"
"02/26/2026","77.49","77.98","78.37","62.03","295.29K","-0.05%"
"02/25/2026","77.53","79.89","79.89","77.01","725.41K","-1.64%"
"02/24/2026","78.82","80.97","80.98","78.60","287.50K","-1.66%"
"02/23/2026","80.15","79.39","81.00","79.18","172.31K","1.23%"
"02/22/2026","79.18","81.01","81.77","79.11","490.47K","-1.94%"
"02/19/2026","80.75","84.01","84.80","80.02","1.04M","-3.28%"
"02/18/2026","83.49","79.20","84.39","78.90","2.06M","5.67%"
"02/17/2026","79.01","79.00","79.30","78.45","133.92K","0.53%"
"02/16/2026","78.59","79.75","79.99","78.52","232.46K","-1.13%"
"02/15/2026","79.49","78.90","79.50","78.50","149.00K","1.24%"
