"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2026","78.00","79.98","79.98","77.60","2.29M","-2.44%"
"03/11/2026","79.95","79.98","80.25","78.70","2.62M","0.19%"
"03/10/2026","79.80","77.21","79.98","77.21","4.52M","4.31%"
"03/09/2026","76.50","77.96","78.00","76.00","4.71M","-1.78%"
"03/08/2026","77.89","80.50","80.70","77.20","4.82M","-3.35%"
"03/05/2026","80.59","80.10","81.86","79.76","4.86M","2.01%"
"03/04/2026","79.00","78.70","80.00","74.50","10.55M","1.28%"
"03/03/2026","78.00","83.25","83.95","78.00","4.72M","-6.27%"
"03/02/2026","83.22","84.94","85.24","83.20","3.82M","-2.37%"
"03/01/2026","85.24","82.03","85.24","82.03","3.57M","-2.14%"
"02/26/2026","87.10","88.02","89.90","87.10","4.72M","-0.85%"
"02/25/2026","87.85","91.53","91.98","86.83","5.77M","-3.99%"
"02/24/2026","91.50","93.32","94.00","91.11","2.73M","-1.58%"
"02/23/2026","92.97","91.10","93.00","89.50","3.74M","2.74%"
"02/22/2026","90.49","93.00","93.50","89.00","2.18M","-1.16%"
"02/19/2026","91.55","96.37","97.39","91.55","2.63M","-5.00%"
"02/18/2026","96.37","96.10","96.80","95.54","1.61M","0.70%"
"02/17/2026","95.70","92.50","97.00","92.20","4.75M","4.02%"
"02/16/2026","92.00","92.04","95.35","91.80","6.17M","0.44%"
"02/15/2026","91.60","88.88","92.89","88.51","3.42M","3.07%"
