"Date","Price","Open","High","Low","Change %"
"03/11/2026","347.38","347.38","347.38","340.74","5.54%"
"03/10/2026","329.14","345.30","345.30","329.14","-9.80%"
"03/09/2026","364.90","364.90","364.90","360.26","3.24%"
"03/06/2026","353.46","353.46","353.46","345.35","7.19%"
"03/05/2026","329.74","329.74","329.74","325.09","4.09%"
"03/04/2026","316.79","324.19","324.19","316.79","-8.13%"
"03/03/2026","344.81","344.81","344.81","341.29","4.04%"
"03/02/2026","331.43","331.43","331.43","329.66","2.23%"
"02/27/2026","324.21","324.21","324.21","321.35","3.36%"
"02/26/2026","313.67","313.67","313.67","309.64","3.63%"
"02/25/2026","302.68","307.43","307.43","302.68","-2.29%"
"02/24/2026","309.78","309.78","309.78","309.61","-0.38%"
"02/23/2026","310.97","310.97","310.97","310.90","-0.73%"
"02/20/2026","313.25","313.25","313.25","313.23","0.11%"
"02/19/2026","312.90","312.90","312.90","308.49","4.47%"
"02/18/2026","299.52","299.52","299.52","298.52","0.75%"
"02/17/2026","297.29","299.66","299.66","297.29","-0.01%"
"02/16/2026","297.32","297.51","297.51","297.32","-0.14%"
"02/13/2026","297.75","298.83","298.83","297.75","-0.32%"
"02/12/2026","298.71","298.71","298.71","297.00","1.12%"
"02/11/2026","295.41","295.41","295.41","294.19","1.12%"
"02/10/2026","292.14","293.20","293.20","292.14","-1.59%"
"02/09/2026","296.86","300.16","300.16","296.86","-2.68%"
"02/06/2026","305.03","305.03","305.03","304.63","0.77%"
"02/05/2026","302.70","302.70","302.70","301.17","2.03%"
"02/04/2026","296.68","296.68","296.68","296.04","0.33%"
"02/03/2026","295.72","295.72","295.72","295.70","-0.85%"
"02/02/2026","298.25","301.42","301.42","298.25","-2.56%"
"01/30/2026","306.09","306.09","306.09","306.09","-1.05%"
"01/29/2026","309.35","309.35","309.35","305.51","3.51%"
"01/28/2026","298.86","298.86","298.86","298.83","0.36%"
"01/27/2026","297.80","297.80","297.80","297.69","0.05%"
"01/26/2026","297.64","299.76","299.76","297.64","-1.04%"
"01/23/2026","300.77","300.77","300.77","296.22","4.71%"
"01/22/2026","287.25","287.25","287.25","287.22","-0.79%"
"01/21/2026","289.55","292.94","292.94","289.55","-3.79%"
"01/20/2026","300.97","300.97","300.97","300.45","-0.43%"
"01/19/2026","302.29","302.29","302.29","300.97","1.84%"
"01/16/2026","296.82","296.82","296.82","295.74","0.99%"
"01/15/2026","293.90","298.06","298.06","293.90","-4.28%"
"01/14/2026","307.05","307.05","307.05","300.52","6.00%"
"01/13/2026","289.66","289.66","289.66","287.81","1.46%"
