"Date","Price","Open","High","Low","Change %"
"03/12/2026","20.410","20.400","20.410","20.400","0.05%"
"03/11/2026","20.400","20.330","20.400","20.330","0.34%"
"03/10/2026","20.330","20.310","20.330","20.310","0.10%"
"03/09/2026","20.310","20.300","20.310","20.300","0.05%"
"03/06/2026","20.300","20.150","20.300","20.150","0.00%"
"03/05/2026","20.300","20.150","20.300","20.150","0.74%"
"03/04/2026","20.150","20.020","20.150","20.020","0.65%"
"03/03/2026","20.020","19.980","20.020","19.980","0.20%"
"03/02/2026","19.980","20.020","20.020","19.980","-0.10%"
"02/27/2026","20.000","20.020","20.020","20.000","0.00%"
"02/26/2026","20.000","20.020","20.020","20.000","-0.10%"
"02/25/2026","20.020","20.020","20.020","20.020","0.00%"
"02/24/2026","20.020","19.960","20.020","19.960","0.30%"
"02/23/2026","19.960","19.990","19.990","19.960","-0.15%"
"02/20/2026","19.990","20.000","20.000","19.990","0.00%"
"02/19/2026","19.990","20.000","20.000","19.990","-0.05%"
"02/18/2026","20.000","20.020","20.020","20.000","-0.10%"
"02/17/2026","20.020","20.020","20.020","20.020","0.00%"
"02/16/2026","20.020","20.000","20.020","20.000","0.10%"
"02/13/2026","20.000","20.010","20.010","20.000","0.00%"
