"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","5,724.90","5,702.30","5,795.95","5,667.95","","-0.52%"
"03/12/2026","5,754.65","5,756.65","5,784.06","5,691.15","","-0.69%"
"03/11/2026","5,794.68","5,810.82","5,824.48","5,753.60","","-0.73%"
"03/10/2026","5,837.17","5,705.47","5,862.07","5,705.47","","2.67%"
"03/09/2026","5,685.20","5,652.78","5,693.14","5,543.42","","-0.61%"
"03/06/2026","5,719.90","5,805.52","5,827.88","5,651.35","","-1.09%"
"03/05/2026","5,782.89","5,867.39","5,914.11","5,768.23","","-1.50%"
"03/04/2026","5,870.92","5,780.25","5,888.21","5,772.25","","1.72%"
"03/03/2026","5,771.73","5,937.33","5,937.33","5,736.80","","-3.59%"
"03/02/2026","5,986.93","6,086.79","6,086.79","5,972.27","","-2.47%"
"02/27/2026","6,138.41","6,165.30","6,180.30","6,113.33","","-0.38%"
"02/26/2026","6,161.56","6,176.51","6,199.78","6,133.74","","-0.19%"
"02/25/2026","6,173.32","6,133.01","6,176.87","6,133.01","","0.93%"
"02/24/2026","6,116.60","6,121.31","6,137.27","6,084.69","","0.04%"
"02/23/2026","6,113.92","6,113.77","6,151.96","6,100.47","","-0.28%"
"02/20/2026","6,131.31","6,072.25","6,140.95","6,059.64","","1.18%"
"02/19/2026","6,059.62","6,097.65","6,097.65","6,030.03","","-0.72%"
"02/18/2026","6,103.37","6,027.91","6,107.73","6,027.91","","1.35%"
"02/17/2026","6,021.85","5,975.43","6,026.54","5,954.14","","0.72%"
"02/16/2026","5,978.88","5,993.30","6,015.97","5,978.82","","-0.11%"
"02/13/2026","5,985.23","6,011.02","6,015.18","5,957.93","","-0.43%"
