"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2026","200.60","210.00","214.30","200.60","73.90K","-0.69%"
"03/09/2026","202.00","200.50","211.00","195.95","53.14K","-2.88%"
"03/06/2026","208.00","217.90","217.90","208.00","52.85K","-0.95%"
"03/05/2026","210.00","210.50","218.90","208.00","92.88K","0.00%"
"03/04/2026","210.00","210.00","216.00","205.10","41.96K","0.00%"
"03/03/2026","210.00","210.10","214.00","203.00","35.16K","-0.94%"
"03/02/2026","212.00","208.00","222.00","208.00","11.19K","-4.93%"
"02/27/2026","223.00","230.00","233.00","223.00","5.38K","-3.04%"
"02/26/2026","230.00","231.25","236.80","230.00","6.29K","-2.54%"
"02/25/2026","236.00","235.00","238.00","233.00","0.31K","0.43%"
"02/24/2026","235.00","236.00","237.90","233.50","15.95K","-0.42%"
"02/23/2026","236.00","240.00","240.00","236.00","30.28K","-0.42%"
"02/20/2026","237.00","243.50","243.50","237.00","8.41K","-0.75%"
"02/19/2026","238.80","239.95","242.00","238.00","18.41K","1.60%"
"02/18/2026","235.05","235.00","237.00","235.00","7.42K","-0.76%"
"02/17/2026","236.85","237.90","238.00","234.50","18.61K","-0.44%"
"02/16/2026","237.90","233.00","237.90","230.00","2.39K","2.10%"
"02/13/2026","233.00","230.10","235.00","230.00","69.89K","0.87%"
"02/12/2026","231.00","231.50","231.50","227.10","8.02K","-0.22%"
"02/11/2026","231.50","230.00","231.50","229.00","25.67K","0.65%"
"02/10/2026","230.00","234.45","234.45","230.00","17.99K","-2.02%"
"02/09/2026","234.75","233.00","235.50","230.00","0.71K","2.07%"
"02/06/2026","230.00","228.00","232.90","227.10","35.91K","0.92%"
"02/05/2026","227.90","231.00","234.00","227.90","4.21K","-2.77%"
"02/04/2026","234.40","230.50","234.40","230.50","0.49K","1.47%"
"02/03/2026","231.00","230.00","233.00","230.00","33.52K","0.43%"
"02/02/2026","230.00","230.50","234.95","230.00","44.98K","-0.04%"
"01/30/2026","230.10","231.50","237.00","230.10","10.61K","-0.39%"
"01/29/2026","231.00","235.00","239.00","231.00","20.60K","-1.70%"
"01/28/2026","235.00","232.05","236.00","231.05","48.75K","1.29%"
"01/27/2026","232.00","231.10","234.90","231.00","6.83K","0.00%"
"01/26/2026","232.00","237.00","237.00","231.00","12.13K","-1.28%"
"01/23/2026","235.00","240.00","240.00","234.60","49.18K","-2.08%"
"01/22/2026","240.00","234.60","244.00","234.20","1.26K","2.13%"
"01/21/2026","235.00","239.00","240.00","235.00","4.59K","-0.84%"
"01/20/2026","237.00","238.75","241.90","237.00","4.28K","-0.84%"
"01/19/2026","239.00","240.05","245.00","238.70","7.37K","-1.24%"
"01/16/2026","242.00","245.00","245.00","240.10","12.51K","0.00%"
"01/15/2026","242.00","243.10","245.00","242.00","2.79K","-0.82%"
"01/13/2026","244.00","245.15","249.95","244.00","33.32K","-1.61%"
"01/12/2026","248.00","250.00","252.50","245.50","15.64K","-0.80%"
"01/09/2026","250.00","250.00","252.00","245.10","49.27K","-0.79%"
"01/08/2026","252.00","250.00","252.00","245.00","3.83K","1.61%"
"01/07/2026","248.00","251.05","254.50","248.00","5.65K","-2.75%"
"01/06/2026","255.00","257.00","257.90","251.05","7.78K","-1.16%"
"01/05/2026","258.00","249.00","258.00","247.00","13.65K","0.00%"
"01/02/2026","258.00","244.90","258.00","238.50","23.63K","5.31%"
"12/31/2025","245.00","238.00","245.00","236.00","26.13K","3.81%"
"12/30/2025","236.00","244.90","244.90","235.00","18.88K","2.61%"
"12/29/2025","230.00","241.00","247.00","230.00","16.57K","-4.17%"
"12/26/2025","240.00","245.70","249.00","240.00","57.52K","-5.88%"
"12/25/2025","255.00","241.60","255.00","241.60","29.45K","2.82%"
"12/24/2025","248.00","248.80","249.00","243.60","37.68K","-0.40%"
"12/23/2025","249.00","245.00","249.80","242.50","159.71K","-0.40%"
"12/22/2025","250.00","250.00","250.00","246.50","5.52K","0.40%"
"12/19/2025","249.00","246.00","251.00","246.00","70.00K","1.22%"
"12/18/2025","246.00","250.00","251.00","246.00","23.76K","-1.62%"
"12/17/2025","250.05","250.90","253.00","250.00","35.01K","0.02%"
"12/16/2025","250.00","245.45","250.00","245.00","3.62K","0.00%"
"12/15/2025","250.00","248.00","251.80","244.00","4.76K","-0.04%"
"12/12/2025","250.10","250.00","251.80","242.55","4.69K","0.04%"
"12/11/2025","250.00","241.00","250.00","241.00","1.59K","0.00%"
"12/10/2025","250.00","247.50","250.00","240.50","7.96K","1.63%"
"12/09/2025","246.00","250.00","250.00","240.55","6.03K","-1.60%"
"12/08/2025","250.00","250.00","250.00","240.20","17.16K","0.00%"
"12/05/2025","250.00","237.00","250.00","236.20","10.25K","2.88%"
"12/04/2025","243.00","238.20","243.00","238.20","2.18K","0.00%"
"12/03/2025","243.00","243.00","243.00","235.20","1.96K","0.00%"
"12/02/2025","243.00","238.20","243.00","235.15","1.91K","1.67%"
"12/01/2025","239.00","239.20","244.95","239.00","3.26K","-2.05%"
"11/28/2025","244.00","240.50","245.00","239.35","3.04K","-0.81%"
"11/27/2025","246.00","239.20","246.00","239.20","40.69K","0.41%"
"11/26/2025","245.00","245.00","245.50","238.00","3.33K","1.20%"
"11/25/2025","242.10","239.00","242.10","235.15","9.74K","0.88%"
"11/24/2025","240.00","240.00","240.00","231.25","2.31K","-2.04%"
"11/21/2025","245.00","238.20","245.00","238.00","11.62K","2.08%"
"11/20/2025","240.00","240.00","241.50","240.00","25.43K","-0.15%"
"11/19/2025","240.35","243.65","243.65","240.20","2.49K","-1.35%"
"11/17/2025","243.65","253.50","253.50","243.05","6.16K","-3.89%"
"11/14/2025","253.50","243.05","253.50","243.05","9.41K","2.22%"
"11/13/2025","248.00","243.30","249.70","243.30","2.90K","1.22%"
"11/12/2025","245.00","246.00","246.05","243.00","2.68K","0.04%"
"11/11/2025","244.90","252.45","253.00","244.90","20.09K","-3.01%"
"11/10/2025","252.50","255.00","255.00","252.45","1.19K","-0.94%"
"11/07/2025","254.90","252.35","255.00","252.35","1.46K","0.91%"
"11/05/2025","252.60","258.00","258.00","252.60","0.69K","-2.09%"
"11/04/2025","258.00","252.10","259.00","252.10","0.50K","-0.77%"
"11/03/2025","260.00","260.00","262.00","256.00","32.07K","1.96%"
"10/31/2025","255.00","256.80","256.90","249.20","10.94K","0.00%"
"10/30/2025","255.00","253.00","256.80","249.10","18.88K","2.37%"
"10/29/2025","249.10","251.90","253.00","248.10","0.48K","-0.16%"
"10/28/2025","249.50","252.00","252.00","248.10","30.61K","-1.03%"
"10/27/2025","252.10","251.30","253.00","251.30","2.84K","-3.00%"
"10/24/2025","259.90","257.00","259.90","250.00","17.70K","1.92%"
"10/23/2025","255.00","258.00","258.00","247.30","5.95K","-1.92%"
"10/22/2025","260.00","250.00","260.00","240.10","36.11K","4.42%"
"10/21/2025","249.00","239.95","249.00","239.95","21.68K","4.23%"
"10/20/2025","238.90","239.00","240.00","233.50","1.13K","2.09%"
"10/17/2025","234.00","232.10","239.00","232.10","14.84K","0.99%"
"10/16/2025","231.70","230.00","239.00","230.00","48.21K","-2.61%"
"10/15/2025","237.90","235.50","241.90","230.00","4.86K","1.23%"
"10/14/2025","235.00","244.00","244.00","235.00","26.70K","-2.49%"
"10/13/2025","241.00","238.10","243.95","238.10","3.90K","0.42%"
"10/10/2025","240.00","237.00","244.00","237.00","34.53K","0.00%"
"10/09/2025","240.00","240.00","245.90","240.00","25.36K","-0.41%"
"10/08/2025","241.00","247.85","247.85","240.00","54.09K","-1.25%"
"10/07/2025","244.05","248.00","248.00","244.00","13.44K","-0.18%"
"10/06/2025","244.50","250.00","250.00","244.00","3.00K","-0.20%"
"10/03/2025","245.00","238.00","246.15","238.00","58.44K","4.26%"
"10/02/2025","235.00","230.00","239.95","223.00","33.34K","0.86%"
"10/01/2025","233.00","241.00","243.40","230.00","17.09K","-3.36%"
"09/30/2025","241.10","245.00","247.00","240.00","46.11K","-1.61%"
"09/29/2025","245.05","255.00","255.00","245.05","20.82K","-3.90%"
"09/26/2025","255.00","255.00","256.00","246.00","57.27K","0.00%"
"09/25/2025","255.00","259.50","259.50","255.00","50.52K","-1.16%"
"09/24/2025","258.00","259.10","260.00","255.00","12.54K","-0.81%"
"09/23/2025","260.10","261.75","262.00","259.00","45.80K","-0.69%"
"09/22/2025","261.90","260.00","262.00","255.00","14.74K","0.73%"
"09/19/2025","260.00","255.00","260.00","253.00","9.15K","1.96%"
"09/18/2025","255.00","258.00","259.00","255.00","9.77K","-0.78%"
"09/17/2025","257.00","257.10","262.90","257.00","10.52K","-1.15%"
"09/16/2025","260.00","261.00","263.95","260.00","26.04K","-0.02%"
"09/15/2025","260.05","264.00","266.00","260.05","33.20K","-0.36%"
"09/12/2025","261.00","252.95","262.00","252.30","276.63K","4.36%"
"09/11/2025","250.10","250.00","252.00","246.00","86.32K","2.50%"
"09/10/2025","244.00","246.00","248.00","244.00","13.11K","-0.81%"
"09/09/2025","246.00","247.00","249.00","243.00","34.10K","-1.20%"
"09/08/2025","249.00","248.05","250.00","246.55","47.43K","-0.40%"
"09/04/2025","250.00","248.10","252.00","247.00","15.37K","0.81%"
"09/03/2025","248.00","248.10","251.00","246.10","8.49K","-0.80%"
"09/02/2025","250.00","253.80","253.80","245.00","13.62K","-0.04%"
