"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2026","1,600.00","1,694.00","1,694.00","1,600.00","4.86K","0.00%"
"03/09/2026","1,600.00","1,649.00","1,649.00","1,600.00","0.80K","-4.36%"
"03/06/2026","1,673.00","1,697.00","1,700.00","1,673.00","8.19K","-0.36%"
"03/05/2026","1,679.00","1,716.00","1,716.00","1,661.00","8.76K","1.76%"
"03/04/2026","1,650.00","1,694.00","1,700.00","1,650.00","0.54K","2.04%"
"03/03/2026","1,617.00","1,789.00","1,789.00","1,600.00","10.48K","-2.24%"
"03/02/2026","1,654.00","1,675.00","1,706.00","1,650.00","6.55K","-3.05%"
"02/27/2026","1,706.00","1,730.00","1,740.00","1,706.00","15.52K","-2.51%"
"02/26/2026","1,750.00","1,786.00","1,786.00","1,750.00","5.43K","-0.85%"
"02/25/2026","1,765.00","1,770.00","1,770.00","1,765.00","1.01K","-0.23%"
"02/24/2026","1,769.00","1,794.00","1,794.00","1,769.00","5.70K","-1.56%"
"02/23/2026","1,797.00","1,763.00","1,799.00","1,763.00","0.03K","0.73%"
"02/20/2026","1,784.00","1,794.00","1,794.00","1,762.00","8.39K","-0.34%"
"02/19/2026","1,790.00","1,795.00","1,795.00","1,790.00","2.03K","-0.39%"
"02/18/2026","1,797.00","1,798.00","1,798.00","1,765.00","4.03K","-0.17%"
"02/17/2026","1,800.00","1,799.00","1,800.00","1,761.00","0.06K","0.11%"
"02/16/2026","1,798.00","1,758.00","1,798.00","1,754.00","11.81K","2.28%"
"02/13/2026","1,758.00","1,760.00","1,786.00","1,750.00","10.47K","-1.68%"
"02/12/2026","1,788.00","1,752.00","1,788.00","1,730.00","6.42K","2.17%"
"02/11/2026","1,750.00","1,753.00","1,753.00","1,749.00","8.53K","-0.23%"
"02/10/2026","1,754.00","1,764.00","1,765.00","1,750.00","0.34K","0.06%"
