"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2026","3,750.0","3,900.0","3,900.0","3,750.0","4.63K","0.00%"
"03/09/2026","3,750.0","3,800.0","3,800.0","3,750.0","0.04K","0.00%"
"03/06/2026","3,750.0","3,975.0","3,975.0","3,750.0","11.80K","-3.85%"
"03/05/2026","3,900.0","3,900.0","3,900.0","3,870.0","1.32K","4.00%"
"03/04/2026","3,750.0","3,799.0","3,800.0","3,750.0","0.76K","-1.32%"
"03/03/2026","3,800.0","3,900.0","3,900.0","3,740.0","6.10K","-2.91%"
"03/02/2026","3,914.0","4,000.0","4,000.0","3,890.0","3.00K","-0.89%"
"02/27/2026","3,949.0","4,049.0","4,049.0","3,949.0","1.02K","-2.47%"
"02/26/2026","4,049.0","4,051.0","4,051.0","4,049.0","0.02K","0.22%"
"02/25/2026","4,040.0","4,195.0","4,195.0","4,040.0","0.28K","-0.25%"
"02/24/2026","4,050.0","4,130.0","4,130.0","4,050.0","1.77K","-1.94%"
"02/23/2026","4,130.0","4,100.0","4,130.0","4,010.0","0.09K","3.25%"
"02/20/2026","4,000.0","4,120.0","4,140.0","4,000.0","3.01K","-2.79%"
"02/19/2026","4,115.0","4,159.0","4,159.0","4,115.0","0.05K","-0.84%"
"02/18/2026","4,150.0","4,160.0","4,160.0","4,150.0","1.52K","-1.19%"
"02/17/2026","4,200.0","4,200.0","4,200.0","4,130.0","0.06K","0.24%"
"02/16/2026","4,190.0","4,195.0","4,200.0","4,105.0","2.41K","-0.12%"
"02/13/2026","4,195.0","4,299.0","4,299.0","4,195.0","1.06K","-2.44%"
"02/12/2026","4,300.0","4,290.0","4,300.0","4,200.0","1.16K","0.12%"
"02/11/2026","4,295.0","4,295.0","4,295.0","4,295.0","0.00K","0.12%"
"02/10/2026","4,290.0","4,290.0","4,290.0","4,290.0","0.01K","0.28%"
"02/09/2026","4,278.0","4,288.0","4,289.0","4,212.0","0.18K","-0.05%"
"02/06/2026","4,280.0","4,236.0","4,290.0","4,232.0","0.65K","-0.12%"
"02/05/2026","4,285.0","4,299.0","4,299.0","4,285.0","0.37K","1.76%"
"02/04/2026","4,211.0","4,300.0","4,395.0","4,211.0","0.62K","-2.05%"
"02/03/2026","4,299.0","4,252.0","4,299.0","4,252.0","0.10K","0.02%"
"02/02/2026","4,298.0","4,245.0","4,320.0","4,245.0","33.02K","1.58%"
"01/30/2026","4,231.0","4,321.0","4,399.0","4,231.0","0.40K","-1.60%"
"01/29/2026","4,300.0","4,446.0","4,446.0","4,300.0","4.20K","-3.57%"
"01/28/2026","4,459.0","4,310.0","4,459.0","4,291.0","2.36K","3.72%"
"01/27/2026","4,299.0","4,351.0","4,351.0","4,299.0","0.01K","-1.17%"
"01/26/2026","4,350.0","4,305.0","4,350.0","4,300.0","0.33K","-2.03%"
"01/23/2026","4,440.0","4,441.0","4,441.0","4,296.0","1.67K","3.74%"
