"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2026","8,053.00","8,200.00","8,200.00","8,010.00","2.87K","2.59%"
"03/09/2026","7,850.00","7,800.00","7,850.00","7,502.00","3.26K","-4.85%"
"03/06/2026","8,250.00","8,300.00","8,300.00","8,120.00","1.49K","-0.63%"
"03/05/2026","8,302.00","8,379.00","8,379.00","8,075.00","1.30K","-1.05%"
"03/04/2026","8,390.00","8,390.00","8,390.00","7,911.00","5.00K","5.85%"
"03/03/2026","7,926.00","8,710.00","8,710.00","7,881.00","5.05K","-9.42%"
"03/02/2026","8,750.00","8,701.00","9,150.00","8,701.00","5.44K","2.94%"
"02/27/2026","8,500.00","8,211.00","8,600.00","8,211.00","8.76K","7.32%"
"02/26/2026","7,920.00","7,959.00","7,995.00","7,910.00","0.14K","-0.41%"
"02/25/2026","7,953.00","7,885.00","8,000.00","7,885.00","0.82K","0.99%"
"02/24/2026","7,875.00","7,950.00","7,950.00","7,875.00","0.13K","-1.53%"
"02/23/2026","7,997.00","8,000.00","8,000.00","7,905.00","0.17K","0.21%"
"02/20/2026","7,980.00","7,831.00","8,000.00","7,831.00","0.55K","-0.25%"
"02/19/2026","8,000.00","7,850.00","8,000.00","7,850.00","2.07K","1.91%"
"02/18/2026","7,850.00","7,900.00","7,900.00","7,831.00","0.29K","-0.63%"
"02/17/2026","7,900.00","7,850.00","7,940.00","7,840.00","4.75K","-0.64%"
"02/16/2026","7,951.00","7,994.00","7,994.00","7,831.00","1.90K","-0.43%"
"02/13/2026","7,985.00","7,861.00","7,985.00","7,860.00","2.60K","-0.05%"
"02/12/2026","7,989.00","7,975.00","7,992.00","7,900.00","0.91K","1.11%"
"02/11/2026","7,901.00","8,020.00","8,020.00","7,822.00","0.34K","0.52%"
"02/10/2026","7,860.00","8,090.00","8,090.00","7,850.00","0.35K","-1.75%"
"02/09/2026","8,000.00","7,897.00","8,000.00","7,897.00","0.27K","5.96%"
"02/06/2026","7,550.00","7,699.00","7,699.00","7,400.00","4.53K","1.34%"
"02/05/2026","7,450.00","8,000.00","8,003.00","7,450.00","3.38K","-7.45%"
"02/04/2026","8,050.00","8,185.00","8,190.00","7,940.00","0.98K","3.21%"
"02/03/2026","7,800.00","8,069.00","8,229.00","7,800.00","0.83K","2.23%"
"02/02/2026","7,630.00","7,610.00","7,830.00","7,610.00","3.32K","-7.53%"
"01/30/2026","8,251.00","8,480.00","8,578.00","8,200.00","4.89K","-5.16%"
"01/29/2026","8,700.00","8,401.00","8,797.00","8,401.00","1.21K","5.45%"
"01/28/2026","8,250.00","8,020.00","8,250.00","8,020.00","2.62K","2.93%"
"01/27/2026","8,015.00","8,135.00","8,150.00","8,006.00","0.84K","0.11%"
"01/26/2026","8,006.00","8,200.00","8,280.00","8,001.00","1.67K","0.08%"
"01/23/2026","8,000.00","8,000.00","8,048.00","7,936.00","1.85K","1.20%"
"01/22/2026","7,905.00","8,100.00","8,100.00","7,905.00","0.94K","-2.29%"
"01/21/2026","8,090.00","8,244.00","8,245.00","8,013.00","0.10K","-0.12%"
"01/20/2026","8,100.00","8,200.00","8,300.00","8,100.00","0.66K","-0.58%"
"01/19/2026","8,147.00","8,200.00","8,200.00","8,000.00","0.64K","2.76%"
"01/16/2026","7,928.00","8,122.00","8,148.00","7,750.00","7.14K","-2.72%"
"01/15/2026","8,150.00","8,300.00","8,500.00","8,123.00","2.78K","-0.61%"
"01/13/2026","8,200.00","8,000.00","8,350.00","8,000.00","13.90K","1.86%"
"01/12/2026","8,050.00","7,389.00","8,127.00","7,389.00","19.20K","8.95%"
"01/09/2026","7,389.00","7,050.00","7,400.00","7,050.00","2.01K","4.09%"
"01/08/2026","7,099.00","7,100.00","7,100.00","7,050.00","1.65K","0.70%"
"01/07/2026","7,050.00","7,100.00","7,100.00","7,010.00","3.50K","0.71%"
"01/06/2026","7,000.00","6,715.00","7,090.00","6,715.00","2.83K","6.04%"
"01/05/2026","6,601.00","6,600.00","7,100.00","6,600.00","0.86K","1.55%"
"01/02/2026","6,500.00","6,361.00","6,500.00","6,305.00","0.51K","1.56%"
"12/31/2025","6,400.00","6,498.00","6,500.00","6,300.00","2.75K","1.59%"
"12/30/2025","6,300.00","6,400.00","6,500.00","6,275.00","9.48K","-0.79%"
"12/29/2025","6,350.00","6,300.00","6,350.00","6,255.00","0.07K","1.58%"
"12/26/2025","6,251.00","6,446.00","6,499.00","6,251.00","2.28K","0.82%"
"12/25/2025","6,200.00","6,400.00","6,400.00","6,200.00","1.30K","-3.13%"
"12/24/2025","6,400.00","6,199.00","6,400.00","6,199.00","0.78K","3.24%"
"12/23/2025","6,199.00","6,012.00","6,199.00","6,012.00","0.21K","0.73%"
"12/22/2025","6,154.00","6,010.00","6,154.00","6,010.00","0.14K","0.08%"
"12/19/2025","6,149.00","6,000.00","6,149.00","6,000.00","0.05K","0.00%"
"12/18/2025","6,149.00","6,158.00","6,158.00","5,974.00","0.69K","-0.16%"
"12/17/2025","6,159.00","6,178.00","6,178.00","6,061.00","0.03K","1.62%"
"12/16/2025","6,061.00","6,170.00","6,170.00","6,061.00","0.01K","0.10%"
"12/15/2025","6,055.00","6,178.00","6,179.00","6,055.00","0.06K","0.07%"
"12/12/2025","6,051.00","6,000.00","6,179.00","5,874.00","0.05K","2.39%"
"12/11/2025","5,910.00","6,050.00","6,195.00","5,910.00","0.32K","-1.50%"
"12/10/2025","6,000.00","5,924.00","6,000.00","5,924.00","0.12K","1.27%"
"12/09/2025","5,925.00","6,100.00","6,100.00","5,925.00","0.05K","-2.66%"
"12/08/2025","6,087.00","5,881.00","6,087.00","5,873.00","0.01K","-0.21%"
"12/05/2025","6,100.00","6,100.00","6,100.00","6,100.00","0.17K","2.52%"
"12/04/2025","5,950.00","6,069.00","6,069.00","5,950.00","0.09K","1.19%"
"12/03/2025","5,880.00","5,871.00","5,880.00","5,871.00","1.05K","0.74%"
"12/02/2025","5,837.00","5,906.00","5,910.00","5,837.00","0.03K","-1.40%"
"12/01/2025","5,920.00","6,100.00","6,100.00","5,920.00","0.02K","-2.95%"
"11/28/2025","6,100.00","6,010.00","6,100.00","5,902.00","0.23K","-1.52%"
"11/27/2025","6,194.00","6,000.00","6,194.00","6,000.00","1.56K","5.11%"
"11/26/2025","5,893.00","5,871.00","6,050.00","5,871.00","0.01K","-2.60%"
"11/25/2025","6,050.00","6,089.00","6,089.00","5,907.00","0.23K","-0.31%"
"11/24/2025","6,069.00","6,096.00","6,096.00","5,800.00","0.21K","1.15%"
"11/21/2025","6,000.00","5,795.00","6,000.00","5,795.00","1.52K","1.69%"
"11/20/2025","5,900.00","5,627.00","5,900.00","5,627.00","1.17K","1.72%"
"11/19/2025","5,800.00","5,998.00","5,998.00","5,800.00","0.23K","-0.12%"
"11/17/2025","5,807.00","6,150.00","6,150.00","5,800.00","1.34K","-4.02%"
"11/14/2025","6,050.00","6,148.00","6,148.00","5,935.00","1.26K","0.00%"
"11/13/2025","6,050.00","6,149.00","6,149.00","6,050.00","0.21K","0.00%"
"11/12/2025","6,050.00","5,901.00","6,077.00","5,901.00","0.21K","2.54%"
"11/11/2025","5,900.00","6,150.00","6,170.00","5,863.00","0.38K","-4.68%"
"11/10/2025","6,190.00","6,200.00","6,200.00","6,100.00","0.59K","-0.16%"
"11/07/2025","6,200.00","6,235.00","6,235.00","6,200.00","1.02K","0.00%"
"11/05/2025","6,200.00","6,284.00","6,284.00","6,200.00","0.10K","0.02%"
"11/04/2025","6,199.00","6,081.00","6,199.00","6,080.00","0.12K","-0.66%"
"11/03/2025","6,240.00","6,200.00","6,250.00","6,200.00","0.76K","-0.16%"
