"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2026","1,309.89","1,309.94","1,321.17","1,307.15","","0.00%"
"03/11/2026","1,309.94","1,284.43","1,316.71","1,284.43","","1.99%"
"03/10/2026","1,284.43","1,251.84","1,321.13","1,251.84","","2.60%"
"03/09/2026","1,251.84","1,298.99","1,299.47","1,251.84","","-3.63%"
"03/06/2026","1,298.99","1,316.05","1,344.49","1,298.99","","-1.30%"
"03/05/2026","1,316.05","1,255.55","1,316.05","1,255.55","","4.82%"
"03/04/2026","1,255.55","1,238.53","1,309.05","1,238.53","","1.37%"
"03/03/2026","1,238.53","1,309.34","1,314.39","1,238.53","","-5.41%"
"03/02/2026","1,309.34","1,379.74","1,379.74","1,309.34","","-5.10%"
"02/27/2026","1,379.74","1,411.45","1,414.32","1,379.50","","-2.25%"
"02/26/2026","1,411.45","1,426.24","1,430.09","1,408.43","","-1.04%"
"02/25/2026","1,426.24","1,433.74","1,442.74","1,426.24","","-0.52%"
"02/24/2026","1,433.74","1,439.26","1,444.14","1,433.74","","-0.38%"
"02/23/2026","1,439.26","1,445.24","1,446.76","1,438.56","","-0.41%"
"02/20/2026","1,445.24","1,449.89","1,452.97","1,437.29","","-0.32%"
"02/19/2026","1,449.89","1,446.66","1,452.03","1,442.99","","0.22%"
"02/18/2026","1,446.66","1,448.67","1,452.95","1,441.50","","-0.14%"
"02/17/2026","1,448.67","1,457.09","1,457.09","1,442.62","","-0.58%"
"02/16/2026","1,457.09","1,431.63","1,457.09","1,431.63","","1.78%"
"02/13/2026","1,431.63","1,440.50","1,446.24","1,431.63","","-0.62%"
