"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2026","237.00","235.00","240.00","233.00","8.32K","2.89%"
"03/09/2026","230.35","232.00","232.00","230.00","55.71K","-4.02%"
"03/06/2026","240.00","250.00","250.00","240.00","2.49K","-1.62%"
"03/05/2026","243.95","240.00","244.00","238.00","5.35K","5.15%"
"03/04/2026","232.00","231.00","245.00","231.00","4.88K","-0.43%"
"03/03/2026","233.00","235.00","235.00","226.05","4.94K","-2.10%"
"03/02/2026","238.00","240.00","242.95","235.00","119.78K","-2.06%"
"02/27/2026","243.00","250.00","250.00","243.00","8.64K","-2.80%"
"02/26/2026","250.00","254.95","254.95","249.00","2.87K","-1.90%"
"02/25/2026","254.85","255.00","255.00","250.00","2.50K","1.33%"
"02/24/2026","251.50","260.00","260.00","251.50","6.87K","-3.08%"
"02/23/2026","259.50","260.00","262.00","259.00","1.84K","0.58%"
"02/20/2026","258.00","258.00","262.00","258.00","1.30K","-0.77%"
"02/19/2026","260.00","262.00","262.00","257.00","0.83K","0.00%"
"02/18/2026","260.00","260.10","262.00","260.00","0.64K","0.00%"
"02/17/2026","260.00","260.00","263.00","258.50","5.36K","0.00%"
"02/16/2026","260.00","264.90","264.90","259.00","7.98K","0.00%"
"02/13/2026","260.00","260.00","261.00","257.00","46.42K","0.97%"
"02/12/2026","257.50","258.00","258.00","255.00","31.34K","0.98%"
"02/11/2026","255.00","259.90","260.00","253.00","5.76K","-1.16%"
"02/10/2026","258.00","261.80","261.95","253.00","3.17K","-0.77%"
"02/09/2026","260.00","250.00","263.00","248.00","13.59K","6.19%"
"02/06/2026","244.85","247.90","247.90","240.00","27.57K","2.02%"
"02/05/2026","240.00","249.50","249.50","240.00","82.08K","-2.83%"
"02/04/2026","247.00","245.00","249.90","245.00","0.88K","0.82%"
"02/03/2026","245.00","248.10","249.90","245.00","2.54K","-1.41%"
"02/02/2026","248.50","243.50","249.00","243.05","5.24K","2.64%"
"01/30/2026","242.10","249.20","250.00","242.10","4.33K","-2.81%"
"01/29/2026","249.10","252.95","252.95","249.00","1.87K","-0.36%"
"01/28/2026","250.00","254.85","254.90","248.10","1.22K","0.81%"
"01/27/2026","248.00","243.00","248.90","243.00","0.53K","2.48%"
"01/26/2026","242.00","248.00","250.00","242.00","7.31K","-3.20%"
"01/23/2026","250.00","252.00","253.50","249.00","2.18K","-0.04%"
"01/22/2026","250.10","252.00","253.50","250.10","5.65K","-0.38%"
"01/21/2026","251.05","252.00","252.90","250.15","0.33K","-0.06%"
"01/20/2026","251.20","254.00","254.00","250.10","3.08K","-1.12%"
"01/19/2026","254.05","259.00","259.00","254.00","1.14K","0.02%"
"01/16/2026","254.00","256.00","259.50","254.00","3.66K","-1.17%"
"01/15/2026","257.00","258.95","259.00","257.00","4.81K","0.00%"
"01/13/2026","257.00","259.95","259.95","256.60","1.16K","-0.96%"
"01/12/2026","259.50","259.10","260.00","257.00","7.12K","0.19%"
"01/09/2026","259.00","258.00","259.00","257.50","4.16K","0.43%"
"01/08/2026","257.90","258.90","258.90","256.50","2.24K","-0.19%"
"01/07/2026","258.40","258.00","258.70","256.00","1.36K","0.74%"
"01/06/2026","256.50","254.00","258.50","254.00","4.32K","0.77%"
"01/05/2026","254.55","255.00","258.90","250.15","7.72K","1.82%"
"01/02/2026","250.00","250.10","257.50","250.00","7.19K","0.00%"
"12/31/2025","250.00","259.00","259.00","250.00","13.13K","-3.47%"
"12/30/2025","259.00","256.00","259.00","250.00","150.07K","5.28%"
"12/29/2025","246.00","257.00","260.00","246.00","15.19K","-1.60%"
"12/26/2025","250.00","255.00","256.00","250.00","21.29K","0.00%"
"12/25/2025","250.00","253.00","255.00","250.00","6.79K","-2.34%"
"12/24/2025","256.00","254.95","256.00","252.00","2.78K","1.91%"
"12/23/2025","251.20","255.00","256.00","251.20","4.31K","-0.40%"
"12/22/2025","252.20","261.40","261.95","252.20","7.45K","-0.71%"
"12/19/2025","254.00","259.90","262.00","254.00","7.34K","-2.27%"
"12/18/2025","259.90","260.00","260.00","257.00","1.55K","1.90%"
"12/17/2025","255.05","262.90","262.90","255.05","7.68K","-2.65%"
"12/16/2025","262.00","260.00","262.95","260.00","2.44K","-0.25%"
"12/15/2025","262.65","264.00","268.50","262.00","1.55K","-0.13%"
"12/12/2025","263.00","262.95","263.00","261.95","1.03K","0.77%"
"12/11/2025","261.00","260.50","263.00","260.50","0.96K","0.50%"
"12/10/2025","259.70","262.75","262.75","259.70","1.73K","-0.50%"
"12/09/2025","261.00","261.05","262.40","259.50","1.06K","0.00%"
"12/08/2025","261.00","261.90","262.00","259.00","1.50K","0.69%"
"12/05/2025","259.20","259.20","263.00","259.20","1.59K","-0.69%"
"12/04/2025","261.00","261.00","262.00","260.00","0.56K","-0.59%"
"12/03/2025","262.55","260.10","262.65","260.00","1.13K","-0.17%"
"12/02/2025","263.00","263.45","263.50","259.40","0.72K","0.77%"
"12/01/2025","261.00","261.00","263.90","260.00","1.03K","1.24%"
"11/28/2025","257.80","262.00","264.90","257.80","3.89K","-0.85%"
"11/27/2025","260.00","259.00","260.00","257.50","6.13K","1.17%"
"11/26/2025","257.00","257.00","259.00","256.00","14.82K","1.18%"
"11/25/2025","254.00","259.00","259.00","254.00","5.43K","-0.39%"
"11/24/2025","255.00","252.00","260.00","252.00","22.61K","-1.92%"
"11/21/2025","260.00","260.00","262.00","260.00","0.83K","0.78%"
"11/20/2025","258.00","262.50","267.00","258.00","3.93K","-0.77%"
"11/19/2025","260.00","267.75","267.75","260.00","41.84K","-2.99%"
"11/17/2025","268.00","269.10","269.90","268.00","0.37K","-0.37%"
"11/14/2025","269.00","265.00","269.45","265.00","15.69K","1.89%"
"11/13/2025","264.00","262.00","268.85","262.00","0.28K","1.54%"
"11/12/2025","260.00","269.60","270.00","260.00","18.32K","-1.52%"
"11/11/2025","264.00","268.70","270.00","264.00","4.20K","-2.22%"
"11/10/2025","270.00","271.00","273.45","268.70","3.50K","-1.42%"
"11/07/2025","273.90","272.05","276.40","270.00","6.28K","-0.04%"
"11/05/2025","274.00","275.20","276.00","273.00","3.32K","-0.72%"
"11/04/2025","276.00","276.00","278.90","275.00","0.73K","0.00%"
"11/03/2025","276.00","278.90","279.00","275.00","21.37K","-1.43%"
"10/31/2025","280.00","280.70","287.00","279.50","37.16K","0.00%"
"10/30/2025","280.00","282.35","282.35","279.05","2.74K","0.54%"
"10/29/2025","278.50","282.90","282.90","278.50","25.49K","-0.54%"
"10/28/2025","280.00","281.15","283.90","280.00","7.82K","-0.39%"
"10/27/2025","281.10","284.00","285.00","281.00","3.24K","-1.02%"
"10/24/2025","284.00","283.90","284.00","280.30","11.63K","0.00%"
"10/23/2025","284.00","283.20","284.00","281.10","3.93K","1.07%"
"10/22/2025","281.00","282.00","284.00","280.00","55.98K","-0.18%"
"10/21/2025","281.50","280.00","283.20","276.00","7.56K","0.90%"
"10/20/2025","279.00","274.00","282.00","274.00","3.11K","1.82%"
"10/17/2025","274.00","276.50","276.50","270.50","0.89K","0.00%"
"10/16/2025","274.00","270.85","274.00","269.00","1.54K","2.26%"
"10/15/2025","267.95","268.00","270.50","263.05","1.02K","0.51%"
"10/14/2025","266.60","270.00","271.00","266.20","56.83K","-1.26%"
"10/13/2025","270.00","270.10","273.00","270.00","0.99K","-0.04%"
"10/10/2025","270.10","274.00","274.00","267.00","83.85K","2.70%"
"10/09/2025","263.00","274.90","274.90","263.00","23.67K","-1.54%"
"10/08/2025","267.10","280.00","280.00","267.10","30.31K","-2.87%"
"10/07/2025","275.00","281.00","281.00","275.00","26.51K","0.00%"
"10/06/2025","275.00","279.90","280.00","275.00","11.24K","3.77%"
"10/03/2025","265.00","272.90","280.00","265.00","33.76K","-1.49%"
"10/02/2025","269.00","268.20","273.90","267.10","4.33K","0.00%"
"10/01/2025","269.00","278.00","278.00","269.00","26.10K","-3.17%"
"09/30/2025","277.80","271.00","278.00","270.05","29.23K","1.02%"
"09/29/2025","275.00","275.00","280.00","274.10","1.42K","0.00%"
"09/26/2025","275.00","281.00","285.00","275.00","16.53K","-1.79%"
"09/25/2025","280.00","285.00","288.00","280.00","5.83K","-1.75%"
"09/24/2025","285.00","282.10","289.00","282.10","0.51K","0.02%"
"09/23/2025","284.95","289.00","289.00","284.95","1.52K","-0.71%"
"09/22/2025","287.00","286.50","289.00","285.00","0.52K","0.70%"
"09/19/2025","285.00","289.00","289.00","285.00","13.00K","-0.70%"
"09/18/2025","287.00","283.00","291.40","283.00","73.39K","2.50%"
