"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2026","143.70","144.90","144.90","140.00","57.56K","7.24%"
"03/09/2026","134.00","132.00","134.50","129.20","43.19K","-2.90%"
"03/06/2026","138.00","145.40","148.00","136.00","69.64K","-4.96%"
"03/05/2026","145.20","140.50","146.80","140.50","56.95K","4.57%"
"03/04/2026","138.85","133.00","139.95","133.00","125.95K","7.89%"
"03/03/2026","128.70","140.20","140.20","128.70","320.77K","-9.97%"
"03/02/2026","142.95","143.00","150.00","142.95","262.95K","-9.98%"
"02/27/2026","158.80","157.05","171.00","157.00","127.35K","1.34%"
"02/26/2026","156.70","158.60","160.60","154.00","42.20K","-1.20%"
"02/25/2026","158.60","162.00","163.50","158.35","37.84K","-1.80%"
"02/24/2026","161.50","165.00","165.80","161.50","20.48K","-1.52%"
"02/23/2026","164.00","162.00","166.50","160.35","67.82K","1.71%"
"02/20/2026","161.25","164.20","166.00","161.25","80.97K","-2.27%"
"02/19/2026","165.00","171.50","176.00","165.00","54.22K","-3.20%"
"02/18/2026","170.45","156.40","170.45","155.50","273.19K","9.97%"
"02/17/2026","155.00","154.70","157.85","154.00","36.51K","-0.93%"
"02/16/2026","156.45","152.30","158.00","152.30","37.64K","3.57%"
"02/13/2026","151.05","151.90","156.85","151.05","119.97K","0.50%"
"02/12/2026","150.30","150.00","154.00","150.00","16.18K","0.87%"
"02/11/2026","149.00","150.10","152.50","148.00","47.68K","-2.10%"
"02/10/2026","152.20","152.10","153.00","149.50","9.22K","0.13%"
"02/09/2026","152.00","157.00","157.00","150.30","11.37K","-1.94%"
"02/06/2026","155.00","151.50","155.00","146.05","260.93K","2.28%"
"02/05/2026","151.55","155.00","157.80","149.55","108.03K","-4.32%"
"02/04/2026","158.40","158.00","159.00","154.00","3.72K","0.89%"
"02/03/2026","157.00","158.80","161.00","156.00","11.40K","-0.57%"
"02/02/2026","157.90","160.00","161.95","155.15","12.36K","-1.37%"
"01/30/2026","160.10","163.00","163.00","157.00","28.26K","-2.26%"
"01/29/2026","163.80","167.00","167.00","160.55","114.53K","-1.92%"
"01/28/2026","167.00","160.00","168.90","160.00","65.23K","6.27%"
"01/27/2026","157.15","158.00","158.35","154.00","12.91K","-0.35%"
"01/26/2026","157.70","158.00","158.00","151.60","46.78K","-1.44%"
"01/23/2026","160.00","161.55","163.95","157.00","50.33K","-0.81%"
"01/22/2026","161.30","161.60","166.00","161.20","37.12K","0.78%"
"01/21/2026","160.05","158.00","163.00","156.00","40.57K","0.38%"
"01/20/2026","159.45","166.75","166.75","158.00","50.35K","-3.66%"
"01/19/2026","165.50","164.00","167.00","163.00","8.65K","1.53%"
"01/16/2026","163.00","163.00","168.60","162.30","16.28K","-1.21%"
"01/15/2026","165.00","166.35","167.80","164.00","37.48K","-1.73%"
"01/13/2026","167.90","167.00","168.95","167.00","11.74K","-0.65%"
"01/12/2026","169.00","167.50","172.50","166.50","82.55K","0.90%"
"01/09/2026","167.50","169.70","171.00","167.00","40.67K","-1.44%"
"01/08/2026","169.95","173.00","175.00","169.00","41.44K","-2.33%"
"01/07/2026","174.00","177.90","178.00","173.55","27.07K","-2.25%"
"01/06/2026","178.00","180.00","181.95","178.00","135.08K","-0.56%"
"01/05/2026","179.00","172.50","180.00","170.80","82.17K","3.50%"
"01/02/2026","172.95","164.90","173.60","162.10","76.35K","7.42%"
"12/31/2025","161.00","160.00","164.80","158.70","82.24K","1.32%"
"12/30/2025","158.90","159.95","166.95","158.50","73.71K","0.25%"
"12/29/2025","158.50","164.00","166.95","158.00","33.54K","-3.94%"
"12/26/2025","165.00","165.00","167.50","165.00","293.11K","0.00%"
"12/25/2025","165.00","167.00","168.95","165.00","32.51K","-1.20%"
"12/24/2025","167.00","170.00","172.95","167.00","37.05K","-1.76%"
"12/23/2025","170.00","174.95","174.95","168.05","23.67K","-1.73%"
"12/22/2025","173.00","175.00","175.85","171.10","9.36K","0.00%"
"12/19/2025","173.00","176.00","176.00","173.00","32.19K","-1.14%"
"12/18/2025","175.00","175.00","176.70","173.00","30.75K","1.16%"
"12/17/2025","173.00","175.00","175.50","173.00","51.26K","-0.17%"
"12/16/2025","173.30","176.00","176.00","173.00","21.06K","-0.97%"
"12/15/2025","175.00","176.20","177.50","175.00","50.68K","-1.69%"
"12/12/2025","178.00","176.00","178.30","175.50","40.18K","1.66%"
"12/11/2025","175.10","178.50","179.90","175.10","15.96K","-1.63%"
"12/10/2025","178.00","178.40","178.40","175.00","1.71K","0.56%"
"12/09/2025","177.00","179.00","179.00","174.00","6.09K","0.00%"
"12/08/2025","177.00","177.20","179.90","176.10","7.55K","-1.34%"
"12/05/2025","179.40","173.00","179.40","171.50","27.43K","3.67%"
"12/04/2025","173.05","174.20","176.50","173.05","12.01K","-1.37%"
"12/03/2025","175.45","177.70","177.70","174.00","9.70K","0.54%"
"12/02/2025","174.50","175.60","177.30","173.00","13.32K","-0.68%"
"12/01/2025","175.70","178.00","179.00","175.00","13.96K","-0.76%"
"11/28/2025","177.05","185.20","185.95","177.05","33.41K","-1.86%"
"11/27/2025","180.40","178.80","186.50","178.00","83.86K","1.01%"
"11/26/2025","178.60","172.20","178.60","172.20","20.01K","3.54%"
"11/25/2025","172.50","174.40","175.95","171.60","7.81K","-0.86%"
"11/24/2025","174.00","173.90","176.50","172.00","8.74K","0.06%"
"11/21/2025","173.90","171.90","173.90","165.30","22.11K","0.93%"
"11/20/2025","172.30","171.10","173.00","170.00","7.00K","1.26%"
"11/19/2025","170.15","170.00","174.00","167.70","36.82K","-3.60%"
"11/17/2025","176.50","180.00","182.00","176.50","16.89K","-2.49%"
"11/14/2025","181.00","182.00","183.00","180.00","31.88K","0.50%"
"11/13/2025","180.10","180.95","181.40","179.30","28.07K","0.61%"
"11/12/2025","179.00","180.00","183.50","178.00","113.03K","-0.56%"
"11/11/2025","180.00","175.65","192.30","170.60","274.00K","2.48%"
"11/10/2025","175.65","179.00","179.00","174.10","12.29K","0.95%"
"11/07/2025","174.00","180.00","182.00","172.50","72.29K","-3.33%"
"11/05/2025","180.00","187.10","189.50","178.00","298.01K","-4.26%"
"11/04/2025","188.00","188.50","190.80","185.15","30.37K","0.08%"
"11/03/2025","187.85","193.00","197.00","187.00","87.93K","-1.13%"
"10/31/2025","190.00","190.00","194.95","188.55","104.91K","0.00%"
"10/30/2025","190.00","190.05","192.50","186.00","56.96K","0.00%"
"10/29/2025","190.00","195.45","197.00","190.00","137.86K","-2.76%"
"10/28/2025","195.40","194.00","200.00","194.00","284.60K","1.77%"
"10/27/2025","192.00","186.10","192.00","185.00","107.30K","3.23%"
"10/24/2025","186.00","183.90","186.25","183.90","40.00K","0.92%"
"10/23/2025","184.30","184.45","186.65","181.00","75.72K","-0.32%"
"10/22/2025","184.90","181.00","186.50","180.00","58.68K","2.72%"
"10/21/2025","180.00","175.50","180.00","175.00","46.56K","3.51%"
"10/20/2025","173.90","170.90","175.30","170.90","27.93K","3.45%"
"10/17/2025","168.10","169.45","170.90","168.00","44.37K","-0.59%"
"10/16/2025","169.10","168.00","170.00","165.00","56.65K","2.48%"
"10/15/2025","165.00","163.00","169.00","160.80","98.83K","-1.14%"
"10/14/2025","166.90","174.00","177.00","163.50","106.16K","-3.53%"
"10/13/2025","173.00","181.00","181.00","173.00","34.09K","-2.81%"
"10/10/2025","178.00","179.70","182.00","176.00","62.56K","-0.95%"
"10/09/2025","179.70","183.00","184.90","179.50","28.52K","-2.34%"
"10/08/2025","184.00","181.00","185.00","179.10","36.07K","-1.02%"
"10/07/2025","185.90","190.00","190.50","185.00","82.95K","0.49%"
"10/06/2025","185.00","178.90","188.70","178.90","66.41K","6.44%"
"10/03/2025","173.80","166.70","174.60","166.00","80.40K","8.63%"
"10/02/2025","160.00","155.50","165.00","148.90","209.95K","-3.03%"
"10/01/2025","165.00","170.00","174.00","165.00","126.06K","-6.78%"
"09/30/2025","177.00","172.30","177.00","160.00","158.50K","1.61%"
"09/29/2025","174.20","172.55","180.00","172.55","51.95K","1.04%"
