"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2026","1,820.00","1,898.00","1,898.00","1,820.00","0.10K","1.68%"
"03/09/2026","1,790.00","1,810.00","1,810.00","1,750.00","0.69K","-0.56%"
"03/06/2026","1,800.00","1,920.00","1,920.00","1,799.00","24.60K","0.00%"
"03/05/2026","1,800.00","1,725.00","1,819.00","1,720.00","4.52K","5.20%"
"03/04/2026","1,711.00","1,630.00","1,783.00","1,630.00","2.64K","4.90%"
"03/03/2026","1,631.00","1,744.00","1,769.00","1,600.00","4.95K","-6.53%"
"03/02/2026","1,745.00","1,820.00","1,860.00","1,706.00","2.75K","-7.92%"
"02/27/2026","1,895.00","1,899.00","1,899.00","1,800.00","9.39K","-0.26%"
"02/26/2026","1,900.00","1,919.00","1,919.00","1,900.00","0.37K","-0.99%"
"02/25/2026","1,919.00","1,919.00","1,920.00","1,910.00","0.04K","0.00%"
"02/24/2026","1,919.00","1,939.00","1,939.00","1,901.00","0.15K","-0.57%"
"02/23/2026","1,930.00","1,948.00","1,948.00","1,900.00","0.35K","2.12%"
"02/20/2026","1,890.00","1,989.00","1,990.00","1,890.00","1.57K","-4.55%"
"02/19/2026","1,980.00","1,999.00","1,999.00","1,973.00","0.11K","0.00%"
"02/18/2026","1,980.00","2,000.00","2,000.00","1,960.00","0.16K","0.00%"
"02/17/2026","1,980.00","2,016.00","2,020.00","1,980.00","1.80K","-1.10%"
"02/16/2026","2,002.00","2,023.00","2,024.00","1,955.00","1.01K","2.67%"
"02/13/2026","1,950.00","2,020.00","2,020.00","1,950.00","2.25K","-1.52%"
"02/12/2026","1,980.00","2,045.00","2,045.00","1,980.00","8.21K","0.46%"
"02/11/2026","1,971.00","2,015.00","2,059.00","1,971.00","0.71K","-1.45%"
"02/10/2026","2,000.00","2,020.00","2,026.00","1,960.00","0.68K","-0.45%"
"02/09/2026","2,009.00","1,999.00","2,009.00","1,955.00","0.37K","3.29%"
"02/06/2026","1,945.00","2,000.00","2,000.00","1,920.00","2.31K","-2.75%"
"02/05/2026","2,000.00","2,015.00","2,070.00","1,900.00","2.37K","-1.67%"
"02/04/2026","2,034.00","2,075.00","2,080.00","2,034.00","0.12K","-2.21%"
"02/03/2026","2,080.00","2,050.00","2,080.00","2,030.00","0.09K","1.46%"
"02/02/2026","2,050.00","2,065.00","2,095.00","2,050.00","10.76K","-1.87%"
"01/30/2026","2,089.00","2,129.00","2,129.00","2,080.00","4.04K","-0.76%"
"01/29/2026","2,105.00","2,086.00","2,150.00","2,060.00","12.07K","0.24%"
"01/28/2026","2,100.00","2,050.00","2,100.00","2,050.00","36.95K","0.53%"
"01/27/2026","2,089.00","2,060.00","2,089.00","2,027.00","0.21K","3.11%"
"01/26/2026","2,026.00","2,100.00","2,100.00","2,025.00","0.56K","-3.02%"
"01/23/2026","2,089.00","2,149.00","2,149.00","2,087.00","6.83K","-0.52%"
