"Date","Price","Open","High","Low","Change %"
"03/12/2026","3.241","3.241","3.241","3.241","0.00%"
"03/11/2026","3.241","3.241","3.241","3.241","0.84%"
"03/10/2026","3.214","3.214","3.214","3.214","0.56%"
"03/09/2026","3.196","3.196","3.196","3.196","0.00%"
"03/06/2026","3.196","3.196","3.196","3.196","-0.09%"
"03/05/2026","3.199","3.199","3.199","3.199","2.20%"
"03/04/2026","3.130","3.130","3.130","3.130","1.59%"
"03/03/2026","3.081","3.081","3.081","3.081","1.25%"
"03/02/2026","3.043","3.043","3.043","3.043","0.00%"
"02/27/2026","3.043","3.043","3.043","3.043","-0.69%"
"02/26/2026","3.064","3.064","3.064","3.064","0.69%"
"02/25/2026","3.043","3.043","3.043","3.043","0.00%"
"02/24/2026","3.043","3.043","3.043","3.043","-1.10%"
"02/23/2026","3.077","3.077","3.077","3.077","0.00%"
"02/20/2026","3.077","3.077","3.077","3.077","-3.81%"
"02/19/2026","3.199","3.199","3.199","3.199","0.00%"
"02/18/2026","3.199","3.199","3.199","3.199","0.09%"
"02/17/2026","3.196","3.196","3.196","3.196","0.44%"
"02/16/2026","3.182","3.182","3.182","3.182","0.00%"
"02/13/2026","3.182","3.182","3.182","3.182","-2.00%"
