"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","9.4325","9.3934","9.4520","9.3849","","0.38%"
"03/12/2026","9.3970","9.3669","9.4117","9.3573","","0.32%"
"03/11/2026","9.3670","9.3360","9.3750","9.3152","","0.34%"
"03/10/2026","9.3355","9.3577","9.3804","9.3072","","-0.24%"
"03/09/2026","9.3578","9.2959","9.4185","9.2932","","0.65%"
"03/06/2026","9.2978","9.2978","9.3370","9.2780","","0.00%"
"03/05/2026","9.2979","9.2820","9.3303","9.2718","","0.17%"
"03/04/2026","9.2820","9.2934","9.3145","9.2662","","-0.12%"
"03/03/2026","9.2935","9.2302","9.3438","9.2088","","0.68%"
"03/02/2026","9.2303","9.1422","9.2422","9.1410","","0.87%"
"02/27/2026","9.1504","9.1587","9.1744","9.1358","","-0.08%"
"02/26/2026","9.1581","9.1737","9.1791","9.1446","","-0.17%"
"02/25/2026","9.1737","9.1666","9.1927","9.1478","","0.04%"
"02/24/2026","9.1703","9.1780","9.1935","9.1563","","-0.07%"
"02/23/2026","9.1771","9.1767","9.1991","9.1265","","0.18%"
"02/20/2026","9.1610","9.1649","9.1957","9.1498","","-0.07%"
"02/19/2026","9.1675","9.1545","9.1835","9.1388","","0.13%"
"02/18/2026","9.1554","9.1426","9.1696","9.1177","","0.14%"
"02/17/2026","9.1426","9.1249","9.1606","9.1130","","0.20%"
"02/16/2026","9.1246","9.1473","9.1536","9.1138","","-0.17%"
"02/13/2026","9.1404","9.1484","9.1578","9.1281","","-0.09%"
