"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","117.50","117.45","118.00","117.40","33.62M","0.04%"
"03/12/2026","117.45","118.00","117.45","117.00","13.56M","-0.47%"
"03/11/2026","118.00","117.00","118.70","117.00","11.08M","0.85%"
"03/10/2026","117.00","118.00","118.00","117.00","11.25M","-0.85%"
"03/09/2026","118.00","119.00","118.05","117.90","8.74M","-0.84%"
"03/06/2026","119.00","119.00","119.05","118.00","38.87M","0.00%"
"03/05/2026","119.00","119.00","119.05","119.00","45.47M","0.00%"
"03/04/2026","119.00","118.90","120.00","118.00","25.18M","0.08%"
"03/03/2026","118.90","117.95","119.00","116.00","26.29M","0.81%"
"03/02/2026","117.95","117.00","118.00","116.00","16.45M","0.81%"
"02/27/2026","117.00","117.10","117.00","116.50","11.60M","-0.09%"
"02/26/2026","117.10","118.00","117.30","117.00","18.22M","-0.76%"
"02/25/2026","118.00","120.00","120.00","117.45","31.54M","-1.67%"
"02/24/2026","120.00","120.00","121.00","120.00","28.06M","0.00%"
"02/23/2026","120.00","118.00","120.00","117.00","16.08M","1.69%"
"02/20/2026","118.00","117.00","118.45","117.00","11.38M","0.85%"
"02/19/2026","117.00","115.95","118.90","117.00","52.63M","0.91%"
"02/18/2026","115.95","117.20","116.50","115.95","9.33M","-1.07%"
"02/17/2026","117.20","120.00","121.50","117.20","33.70M","-2.33%"
"02/16/2026","120.00","112.00","122.95","113.00","47.40M","7.14%"
"02/13/2026","112.00","107.00","112.00","108.00","45.04M","4.67%"
