"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","779.10","777.90","780.00","779.00","8.57M","0.15%"
"03/12/2026","777.90","773.00","777.90","773.00","1.82M","0.63%"
"03/11/2026","773.00","773.00","773.00","773.00","2.06M","0.00%"
"03/10/2026","773.00","790.00","773.00","773.00","1.98M","-2.15%"
"03/09/2026","790.00","790.00","790.00","790.00","2.43M","0.00%"
"03/06/2026","790.00","795.00","790.00","790.00","2.54M","-0.63%"
"03/05/2026","795.00","790.00","795.00","795.00","3.88M","0.63%"
"03/04/2026","790.00","780.00","819.00","780.00","8.84M","1.28%"
"03/03/2026","780.00","783.00","780.00","780.00","5.45M","-0.38%"
"03/02/2026","783.00","760.00","783.00","770.00","5.48M","3.03%"
"02/27/2026","760.00","760.00","760.00","760.00","2.73M","0.00%"
"02/26/2026","760.00","760.00","760.00","760.00","4.19M","0.00%"
"02/25/2026","760.00","760.00","760.00","760.00","3.84M","0.00%"
"02/24/2026","760.00","780.00","760.00","760.00","4.63M","-2.56%"
"02/23/2026","780.00","780.00","780.00","780.00","3.25M","0.00%"
"02/20/2026","780.00","780.00","780.00","780.00","3.18M","0.00%"
"02/19/2026","780.00","750.00","780.00","770.00","7.17M","4.00%"
"02/18/2026","750.00","750.00","750.00","750.00","2.72M","0.00%"
"02/17/2026","750.00","779.70","750.00","750.00","6.63M","-3.81%"
"02/16/2026","779.70","708.90","779.70","778.80","9.77M","9.99%"
"02/13/2026","708.90","653.00","708.90","700.20","3.60M","8.56%"
