"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","9,099.90","9,099.90","9,099.90","9,099.90","13.89K","0.00%"
"03/12/2026","9,099.90","9,099.90","9,099.90","9,099.90","56.99K","0.00%"
"03/11/2026","9,099.90","9,099.90","9,099.90","9,099.90","81.68K","0.00%"
"03/10/2026","9,099.90","9,099.90","9,099.90","9,099.90","105.98K","0.00%"
"03/09/2026","9,099.90","9,099.90","9,099.90","9,099.90","166.38K","0.00%"
"03/06/2026","9,099.90","9,099.90","9,099.90","9,099.90","24.73K","0.00%"
"03/05/2026","9,099.90","9,099.90","9,099.90","9,099.90","82.87K","0.00%"
"03/04/2026","9,099.90","9,099.90","9,099.90","9,099.90","38.19K","0.00%"
"03/03/2026","9,099.90","9,099.90","9,099.90","9,099.90","165.50K","0.00%"
"03/02/2026","9,099.90","9,099.90","9,099.90","9,099.90","124.59K","0.00%"
"02/27/2026","9,099.90","9,099.90","9,099.90","9,099.90","117.75K","0.00%"
"02/26/2026","9,099.90","9,099.90","9,099.90","9,099.90","59.65K","0.00%"
"02/25/2026","9,099.90","9,099.90","9,099.90","9,099.90","70.61K","0.00%"
"02/24/2026","9,099.90","9,099.90","9,099.90","9,099.90","78.40K","0.00%"
"02/23/2026","9,099.90","9,099.90","9,099.90","9,099.90","30.08K","0.00%"
"02/20/2026","9,099.90","9,099.90","9,099.90","9,099.90","192.24K","0.00%"
"02/19/2026","9,099.90","9,099.90","9,099.90","9,099.90","97.41K","0.00%"
"02/18/2026","9,099.90","8,400.00","9,099.90","9,099.90","174.60K","8.33%"
"02/17/2026","8,400.00","8,400.00","8,400.00","8,400.00","178.74K","0.00%"
"02/16/2026","8,400.00","8,400.00","8,400.00","8,400.00","132.81K","0.00%"
"02/13/2026","8,400.00","8,107.00","8,400.00","8,400.00","473.81K","3.61%"
