"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","95.95","93.15","95.95","93.05","13.75M","3.01%"
"03/12/2026","93.15","93.00","93.15","93.05","27.48M","0.16%"
"03/11/2026","93.00","93.15","93.20","93.00","19.10M","-0.16%"
"03/10/2026","93.15","93.05","93.20","92.90","35.35M","0.11%"
"03/09/2026","93.05","93.00","93.40","93.00","39.72M","0.05%"
"03/06/2026","93.00","93.10","93.15","92.10","39.99M","-0.11%"
"03/05/2026","93.10","92.00","93.10","92.00","24.34M","1.20%"
"03/04/2026","92.00","92.00","92.70","92.00","47.63M","0.00%"
"03/03/2026","92.00","91.50","92.45","91.00","40.86M","0.05%"
"03/02/2026","91.95","91.00","92.55","90.50","24.37M","1.04%"
"02/27/2026","91.00","88.90","91.40","88.80","79.36M","2.25%"
"02/26/2026","89.00","90.00","90.55","88.05","45.49M","-2.20%"
"02/25/2026","91.00","93.00","94.00","89.20","120.67M","-2.15%"
"02/24/2026","93.00","88.95","93.00","89.00","67.62M","4.55%"
"02/23/2026","88.95","86.50","88.95","87.10","16.13M","2.83%"
"02/20/2026","86.50","85.00","86.95","83.70","43.99M","1.76%"
"02/19/2026","85.00","83.70","85.00","83.90","53.22M","1.55%"
"02/18/2026","83.70","80.55","86.00","82.00","30.20M","3.91%"
"02/17/2026","80.55","89.50","90.20","80.55","93.10M","-10.00%"
"02/16/2026","89.50","81.40","89.50","82.50","69.28M","9.95%"
"02/13/2026","81.40","78.00","81.40","77.95","72.60M","4.36%"
