"Date","Price","Open","High","Low","Change %"
"03/12/2026","16.058","16.058","16.058","16.058","0.01%"
"03/11/2026","16.056","16.056","16.056","16.056","0.01%"
"03/10/2026","16.055","16.055","16.055","16.055","0.01%"
"03/09/2026","16.054","16.054","16.054","16.054","0.01%"
"03/06/2026","16.053","16.053","16.053","16.053","3.90%"
"03/05/2026","15.450","15.450","15.450","15.450","0.01%"
"03/04/2026","15.448","15.448","15.448","15.448","0.01%"
"03/03/2026","15.447","15.447","15.447","15.447","0.00%"
"03/02/2026","15.447","15.447","15.447","15.447","0.01%"
"02/27/2026","15.446","15.446","15.446","15.446","0.01%"
"02/26/2026","15.445","15.445","15.445","15.445","0.01%"
"02/25/2026","15.443","15.443","15.443","15.443","-6.68%"
"02/24/2026","16.548","16.548","16.548","16.548","0.01%"
"02/23/2026","16.547","16.547","16.547","16.547","0.01%"
"02/20/2026","16.546","16.546","16.546","16.546","0.01%"
"02/19/2026","16.545","16.545","16.545","16.545","0.02%"
"02/18/2026","16.542","16.542","16.542","16.542","0.00%"
"02/17/2026","16.542","16.542","16.542","16.542","0.01%"
"02/16/2026","16.541","16.541","16.541","16.541","0.01%"
"02/13/2026","16.540","16.540","16.540","16.540","0.01%"
