"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","15,258.73","15,362.68","15,399.69","15,128.03","","-0.68%"
"03/12/2026","15,362.68","15,649.47","15,649.47","15,334.86","","-1.83%"
"03/11/2026","15,649.47","15,806.65","15,856.68","15,319.49","","-0.99%"
"03/10/2026","15,806.65","15,576.43","16,118.64","15,576.43","","1.48%"
"03/09/2026","15,576.43","15,368.46","15,588.13","15,046.28","","1.35%"
"03/06/2026","15,368.46","16,245.48","16,275.55","15,284.01","","-5.40%"
"03/05/2026","16,245.48","16,342.44","16,619.74","16,184.80","","-0.59%"
"03/04/2026","16,342.44","16,205.84","16,414.70","16,064.54","","0.84%"
"03/03/2026","16,205.84","16,929.66","16,943.93","16,192.12","","-4.28%"
"03/02/2026","16,929.66","17,279.46","17,279.46","16,716.54","","-2.02%"
"02/27/2026","17,279.46","17,360.60","17,527.60","17,203.43","","-0.47%"
"02/26/2026","17,360.60","17,015.07","17,425.10","16,989.02","","2.03%"
"02/25/2026","17,015.07","17,187.47","17,187.47","16,929.61","","-1.00%"
"02/24/2026","17,187.47","17,048.53","17,187.47","16,893.20","","0.81%"
"02/23/2026","17,048.53","17,036.31","17,246.75","16,953.53","","0.07%"
"02/20/2026","17,036.31","17,112.91","17,177.76","16,999.09","","-0.45%"
"02/19/2026","17,112.91","17,176.04","17,270.57","16,955.96","","-0.37%"
"02/18/2026","17,176.04","16,762.59","17,246.91","16,762.59","","2.47%"
"02/17/2026","16,762.59","16,779.97","16,822.55","16,629.74","","-0.10%"
"02/16/2026","16,779.97","16,664.72","16,881.16","16,644.77","","0.69%"
"02/13/2026","16,664.72","16,737.97","16,875.65","16,586.35","","-0.44%"
"02/12/2026","16,737.97","16,594.94","16,779.29","16,520.54","","0.86%"
"02/11/2026","16,594.94","16,541.26","16,628.98","16,387.56","","0.32%"
"02/10/2026","16,541.26","16,324.26","16,600.42","16,238.78","","1.33%"
"02/09/2026","16,324.26","16,305.17","16,431.02","16,239.37","","0.12%"
"02/06/2026","16,305.17","16,236.01","16,323.23","16,152.52","","0.43%"
"02/05/2026","16,236.01","16,234.74","16,298.60","16,088.69","","0.01%"
"02/04/2026","16,234.74","16,336.89","16,336.89","16,143.06","","-0.63%"
"02/03/2026","16,336.89","16,291.82","16,522.48","16,244.99","","0.28%"
"02/02/2026","16,291.82","15,956.44","16,313.40","15,613.73","","2.10%"
"01/30/2026","15,956.44","16,032.53","16,223.59","15,857.12","","-0.47%"
"01/29/2026","16,032.53","15,884.11","16,218.09","15,884.11","","0.93%"
"01/28/2026","15,884.11","16,021.36","16,044.53","15,782.83","","-0.86%"
"01/27/2026","16,021.36","15,845.95","16,072.10","15,840.91","","1.11%"
"01/26/2026","15,845.95","15,861.04","15,861.04","15,717.09","","-0.10%"
"01/23/2026","15,861.04","15,949.56","15,993.42","15,787.35","","-0.55%"
"01/22/2026","15,949.56","15,620.43","16,051.49","15,593.61","","2.11%"
"01/21/2026","15,620.43","15,610.94","15,655.77","15,447.27","","0.06%"
"01/20/2026","15,610.94","15,605.73","15,634.39","15,498.13","","0.03%"
"01/19/2026","15,605.73","15,675.83","15,675.83","15,481.88","","-0.45%"
"01/16/2026","15,675.83","15,626.40","15,811.10","15,586.87","","0.32%"
"01/15/2026","15,626.40","15,368.91","15,626.40","15,368.91","","1.68%"
"01/14/2026","15,368.91","15,364.10","15,425.40","15,197.46","","0.03%"
"01/13/2026","15,364.10","15,538.10","15,540.35","15,309.85","","-1.12%"
"01/12/2026","15,538.10","15,615.77","15,642.58","15,343.57","","-0.50%"
"01/09/2026","15,615.77","15,670.84","15,762.49","15,580.58","","-0.35%"
"01/08/2026","15,670.84","15,594.53","15,717.04","15,510.76","","0.49%"
"01/07/2026","15,594.53","15,665.56","15,713.00","15,457.37","","-0.45%"
"01/06/2026","15,665.56","15,401.44","15,768.52","15,349.26","","1.71%"
"01/05/2026","15,401.44","15,485.63","15,532.93","15,275.93","","-0.54%"
"01/02/2026","15,485.63","15,421.60","15,533.08","15,274.25","","0.42%"
"12/31/2025","15,421.60","15,431.42","15,466.31","15,348.85","","-0.06%"
"12/30/2025","15,431.42","15,427.68","15,563.56","15,388.48","","0.02%"
"12/29/2025","15,427.68","15,417.48","15,590.91","15,366.64","","0.07%"
"12/24/2025","15,417.48","15,292.99","15,473.24","15,254.12","","0.81%"
"12/23/2025","15,292.99","15,117.18","15,325.72","15,091.75","","1.16%"
"12/22/2025","15,117.18","15,221.24","15,241.39","14,961.21","","-0.68%"
"12/19/2025","15,221.24","15,282.96","15,361.07","14,881.89","","-0.40%"
"12/18/2025","15,282.96","15,187.36","15,428.04","15,108.03","","0.63%"
"12/17/2025","15,187.36","14,958.83","15,255.97","14,866.79","","1.53%"
"12/15/2025","14,958.83","14,719.01","15,021.08","14,665.45","","1.63%"
"12/12/2025","14,719.01","14,726.46","14,963.05","14,716.74","","-0.05%"
"12/11/2025","14,726.46","14,655.24","14,868.13","14,645.25","","0.49%"
"12/10/2025","14,655.24","14,660.92","14,660.92","14,551.06","","-0.04%"
"12/09/2025","14,660.92","14,588.59","14,717.89","14,556.81","","0.50%"
"12/08/2025","14,588.59","14,717.88","14,815.47","14,568.45","","-0.88%"
"12/05/2025","14,717.88","14,642.37","14,774.29","14,607.47","","0.52%"
"12/04/2025","14,642.37","14,529.84","14,694.09","14,502.08","","0.77%"
"12/03/2025","14,529.84","14,301.48","14,577.73","14,263.89","","1.60%"
"12/02/2025","14,301.48","14,152.29","14,426.19","14,067.09","","1.05%"
"12/01/2025","14,152.29","14,102.94","14,152.29","13,909.13","","0.35%"
"11/28/2025","14,102.94","14,128.81","14,266.34","14,050.13","","-0.18%"
"11/27/2025","14,128.81","14,385.02","14,420.06","14,086.99","","-1.78%"
"11/26/2025","14,385.02","14,175.34","14,513.58","14,175.34","","1.48%"
"11/25/2025","14,175.34","14,191.34","14,282.67","13,994.05","","-0.11%"
"11/24/2025","14,191.34","14,239.05","14,389.82","14,114.97","","-0.34%"
"11/21/2025","14,239.05","14,470.86","14,470.86","14,118.00","","-1.60%"
"11/20/2025","14,470.86","14,408.87","14,655.99","14,408.87","","0.43%"
"11/19/2025","14,408.87","14,422.93","14,481.66","14,380.90","","-0.10%"
"11/18/2025","14,422.93","14,623.11","14,623.11","14,385.93","","-1.37%"
"11/17/2025","14,623.11","14,419.48","14,689.82","14,419.48","","1.41%"
"11/14/2025","14,419.48","14,515.07","14,515.07","14,318.55","","-0.66%"
"11/13/2025","14,515.07","14,280.77","14,741.69","14,273.69","","1.64%"
"11/12/2025","14,280.77","14,009.31","14,321.32","13,940.88","","1.94%"
"11/11/2025","14,009.31","14,063.70","14,197.75","14,009.31","","-0.39%"
"11/10/2025","14,063.70","13,947.66","14,121.68","13,947.66","","0.83%"
"11/07/2025","13,947.66","14,099.04","14,099.04","13,748.58","","-1.07%"
"11/06/2025","14,099.04","14,008.46","14,148.13","13,885.67","","0.65%"
"11/05/2025","14,008.46","13,791.23","14,008.46","13,643.72","","1.58%"
"11/04/2025","13,791.23","13,896.38","13,896.38","13,613.11","","-0.76%"
"11/03/2025","13,896.38","13,831.38","14,002.47","13,831.38","","0.47%"
"10/31/2025","13,831.38","13,845.32","13,938.44","13,740.83","","-0.10%"
"10/30/2025","13,845.32","14,070.48","14,102.03","13,779.79","","-1.60%"
"10/29/2025","14,070.48","14,178.32","14,262.76","14,060.19","","-0.76%"
"10/28/2025","14,178.32","13,970.93","14,278.76","13,934.96","","1.48%"
"10/27/2025","13,970.93","14,084.66","14,201.08","13,875.75","","-0.81%"
"10/24/2025","14,084.66","14,135.14","14,255.16","13,977.23","","-0.36%"
"10/23/2025","14,135.14","14,093.27","14,135.14","13,947.74","","0.30%"
"10/22/2025","14,093.27","13,974.73","14,093.27","13,898.37","","0.85%"
"10/21/2025","13,974.73","13,925.92","14,069.79","13,891.04","","0.35%"
"10/20/2025","13,925.92","13,713.60","13,974.43","13,713.60","","1.55%"
"10/17/2025","13,713.60","13,733.73","13,775.79","13,506.35","","-0.15%"
"10/16/2025","13,733.73","13,770.48","13,869.71","13,674.60","","-0.27%"
"10/15/2025","13,770.48","13,689.73","13,843.54","13,689.73","","0.59%"
"10/14/2025","13,689.73","13,701.07","13,702.48","13,567.05","","-0.08%"
"10/13/2025","13,701.07","13,752.25","13,752.25","13,562.36","","-0.37%"
"10/10/2025","13,752.25","13,656.07","13,873.46","13,563.88","","0.70%"
"10/09/2025","13,656.07","13,375.31","13,666.12","13,304.88","","2.10%"
"10/08/2025","13,375.31","13,374.78","13,413.31","13,204.69","","0.00%"
"10/07/2025","13,374.78","13,378.89","13,437.60","13,287.63","","-0.03%"
"10/06/2025","13,378.89","13,225.81","13,445.41","13,158.38","","1.16%"
"10/03/2025","13,225.81","12,950.68","13,225.81","12,950.68","","2.12%"
"10/02/2025","12,950.68","13,001.49","13,146.81","12,921.88","","-0.39%"
"10/01/2025","13,001.49","12,859.66","13,093.78","12,859.66","","1.10%"
"09/30/2025","12,859.66","12,850.60","12,902.87","12,768.16","","0.07%"
"09/29/2025","12,850.60","12,936.02","12,975.51","12,813.55","","-0.66%"
"09/26/2025","12,936.02","12,976.94","13,018.67","12,819.65","","-0.32%"
"09/25/2025","12,976.94","13,198.29","13,198.29","12,961.76","","-1.68%"
"09/23/2025","13,198.29","13,092.81","13,208.75","13,052.22","","0.81%"
"09/22/2025","13,092.81","13,271.03","13,271.03","12,970.19","","-1.34%"
"09/19/2025","13,271.03","13,361.19","13,414.05","13,181.79","","-0.67%"
"09/18/2025","13,361.19","13,217.35","13,405.62","13,191.56","","1.09%"
"09/17/2025","13,217.35","13,190.89","13,217.64","13,090.03","","0.20%"
"09/16/2025","13,190.89","13,110.18","13,207.34","12,991.76","","0.62%"
"09/15/2025","13,110.18","13,199.11","13,270.44","13,087.10","","-0.67%"
"09/12/2025","13,199.11","13,075.39","13,314.53","12,996.68","","0.95%"
"09/11/2025","13,075.39","12,759.98","13,127.22","12,759.98","","2.47%"
"09/10/2025","12,759.98","12,952.95","12,952.95","12,691.84","","-1.49%"
"09/09/2025","12,952.95","12,929.85","13,033.04","12,929.85","","0.18%"
"09/08/2025","12,929.85","12,723.51","12,948.83","12,723.51","","1.62%"
"09/05/2025","12,723.51","12,553.04","12,801.49","12,553.04","","1.36%"
"09/04/2025","12,553.04","12,648.93","12,747.02","12,553.04","","-0.76%"
"09/03/2025","12,648.93","12,864.05","12,927.56","12,565.37","","-1.67%"
"09/02/2025","12,864.05","12,997.63","13,067.73","12,781.42","","-1.03%"
"09/01/2025","12,997.63","13,066.75","13,119.04","12,964.79","","-0.53%"
"08/29/2025","13,066.75","13,242.77","13,286.84","13,066.75","","-1.33%"
"08/28/2025","13,242.77","13,120.11","13,314.98","13,120.11","","0.93%"
"08/27/2025","13,120.11","13,121.28","13,168.66","13,056.94","","-0.01%"
"08/26/2025","13,121.28","13,337.05","13,337.05","13,095.17","","-1.62%"
"08/25/2025","13,337.05","13,502.84","13,539.42","13,313.80","","-1.23%"
"08/22/2025","13,502.84","13,237.10","13,505.53","13,237.10","","2.01%"
"08/21/2025","13,237.10","13,260.30","13,348.94","13,212.30","","-0.17%"
"08/20/2025","13,260.30","13,293.07","13,346.58","13,212.01","","-0.25%"
"08/19/2025","13,293.07","13,247.06","13,356.22","13,208.26","","0.35%"
"08/18/2025","13,247.06","13,369.05","13,457.88","13,231.35","","-0.91%"
"08/15/2025","13,369.05","13,392.49","13,536.62","13,357.20","","-0.18%"
"08/14/2025","13,392.49","13,275.88","13,556.66","13,229.38","","0.88%"
"08/13/2025","13,275.88","13,087.75","13,285.37","13,051.82","","1.44%"
"08/12/2025","13,087.75","12,907.46","13,087.75","12,907.46","","1.40%"
"08/11/2025","12,907.46","12,770.51","13,051.16","12,770.51","","1.07%"
"08/08/2025","12,770.51","12,753.84","12,837.88","12,728.38","","0.13%"
"08/07/2025","12,753.84","12,759.05","12,795.29","12,682.43","","-0.04%"
"08/06/2025","12,759.05","12,749.55","12,868.63","12,722.42","","0.07%"
"08/05/2025","12,749.55","12,982.32","13,035.50","12,736.03","","-1.79%"
"08/04/2025","12,982.32","12,885.31","13,187.94","12,808.76","","0.75%"
"08/01/2025","12,885.31","13,057.76","13,057.76","12,764.48","","-1.32%"
"07/31/2025","13,057.76","12,949.02","13,136.05","12,933.00","","0.84%"
"07/30/2025","12,949.02","12,820.33","12,978.70","12,735.14","","1.00%"
"07/29/2025","12,820.33","12,762.79","12,931.07","12,760.03","","0.45%"
"07/28/2025","12,762.79","12,723.40","12,829.12","12,711.35","","0.31%"
"07/25/2025","12,723.40","12,811.58","12,842.36","12,665.12","","-0.69%"
"07/24/2025","12,811.58","12,762.29","12,843.43","12,752.65","","0.39%"
"07/23/2025","12,762.29","12,706.31","12,814.67","12,663.17","","0.44%"
"07/22/2025","12,706.31","12,820.07","12,908.69","12,644.89","","-0.89%"
"07/21/2025","12,820.07","12,918.07","13,010.44","12,776.78","","-0.76%"
"07/18/2025","12,918.07","12,647.30","12,938.81","12,605.60","","2.14%"
"07/17/2025","12,647.30","12,578.26","12,647.30","12,507.18","","0.55%"
"07/16/2025","12,578.26","12,447.02","12,578.26","12,315.77","","1.05%"
"07/15/2025","12,447.02","12,369.94","12,471.73","12,369.94","","0.62%"
"07/14/2025","12,369.94","12,436.52","12,445.77","12,297.19","","-0.54%"
"07/11/2025","12,436.52","12,750.08","12,774.55","12,414.86","","-2.46%"
"07/10/2025","12,750.08","12,806.87","12,852.06","12,696.95","","-0.44%"
"07/09/2025","12,806.87","12,804.13","12,919.36","12,736.94","","0.02%"
"07/08/2025","12,804.13","12,726.52","12,806.92","12,637.45","","0.61%"
"07/07/2025","12,726.52","12,812.91","12,834.91","12,676.57","","-0.67%"
"07/04/2025","12,812.91","12,919.34","12,919.34","12,762.36","","-0.82%"
"07/03/2025","12,919.34","12,756.37","12,941.78","12,713.07","","1.28%"
"07/02/2025","12,756.37","12,881.26","12,923.30","12,647.81","","-0.97%"
"07/01/2025","12,881.26","12,827.60","12,974.69","12,795.36","","0.42%"
"06/30/2025","12,827.60","12,844.01","12,939.92","12,794.45","","-0.13%"
"06/27/2025","12,844.01","12,606.84","12,844.01","12,606.84","","1.88%"
"06/26/2025","12,606.84","12,670.71","12,848.51","12,583.06","","-0.50%"
"06/25/2025","12,670.71","12,906.12","12,906.12","12,477.95","","-1.82%"
"06/24/2025","12,906.12","12,357.75","12,923.56","12,357.75","","4.44%"
"06/23/2025","12,357.75","12,545.75","12,588.98","12,301.49","","-1.50%"
"06/20/2025","12,545.75","12,512.40","12,705.81","12,512.40","","0.27%"
"06/19/2025","12,512.40","12,485.71","12,512.40","12,335.18","","0.21%"
"06/18/2025","12,485.71","12,465.30","12,550.25","12,333.74","","0.16%"
"06/17/2025","12,465.30","12,494.02","12,673.65","12,435.63","","-0.23%"
"06/13/2025","12,494.02","12,878.54","12,878.54","12,494.02","","-2.99%"
"06/12/2025","12,878.54","12,801.91","12,906.38","12,699.92","","0.60%"
"06/11/2025","12,801.91","13,030.57","13,081.36","12,784.01","","-1.75%"
"06/10/2025","13,030.57","12,868.80","13,127.37","12,868.80","","1.26%"
"06/09/2025","12,868.80","12,948.12","13,051.96","12,848.46","","-0.61%"
"06/06/2025","12,948.12","12,792.70","12,970.65","12,731.90","","1.21%"
"06/05/2025","12,792.70","12,738.19","12,870.71","12,667.52","","0.43%"
"06/04/2025","12,738.19","12,672.30","12,833.96","12,672.30","","0.52%"
"06/03/2025","12,672.30","12,710.68","12,786.88","12,570.50","","-0.30%"
