"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","145,699.77","155,996.95","155,996.95","145,699.77","","-6.55%"
"03/12/2026","155,917.23","154,356.45","158,949.80","152,366.23","40.21M","0.79%"
"03/11/2026","154,694.02","159,266.95","162,099.89","150,510.22","38.44M","-4.57%"
"03/10/2026","162,099.89","161,292.27","164,167.08","158,163.34","31.93M","2.49%"
"03/09/2026","158,163.34","156,241.22","159,535.33","154,535.97","44.64M","1.21%"
"03/06/2026","156,274.45","161,391.19","162,033.97","154,656.38","34.73M","-2.47%"
"03/05/2026","160,238.55","166,993.88","166,993.88","158,700.73","36.31M","-2.83%"
"03/04/2026","164,903.66","167,366.05","171,262.42","162,323.80","36.30M","1.59%"
"03/03/2026","162,323.80","180,441.45","182,274.91","161,944.31","57.41M","-10.95%"
"03/02/2026","182,274.91","188,688.88","193,669.81","180,775.48","40.05M","-0.68%"
"02/27/2026","183,530.31","183,095.86","184,332.02","176,027.52","53.25M","4.26%"
"02/26/2026","176,027.52","177,943.16","178,994.41","175,921.55","30.18M","-1.28%"
"02/25/2026","178,316.61","176,050.73","179,284.77","169,495.86","39.56M","5.20%"
"02/24/2026","169,495.86","170,211.03","172,057.41","166,696.80","32.72M","-0.66%"
"02/23/2026","170,620.34","164,957.84","171,372.44","162,923.11","39.05M","4.72%"
"02/20/2026","162,923.11","159,563.88","164,277.28","157,732.73","46.64M","3.29%"
"02/19/2026","157,732.73","160,263.95","161,489.84","154,563.38","35.11M","-0.93%"
"02/18/2026","159,217.69","156,853.80","159,217.69","152,905.44","46.01M","4.13%"
"02/17/2026","152,905.44","157,348.69","159,624.55","152,905.44","32.18M","-4.21%"
"02/16/2026","159,624.55","159,035.39","162,101.17","159,035.39","14.97M","-0.18%"
"02/13/2026","159,909.33","159,009.19","164,008.59","155,498.20","37.62M","-2.50%"
"02/12/2026","164,008.59","164,179.55","166,150.92","163,756.48","25.36M","-0.21%"
"02/11/2026","164,350.02","163,463.97","167,421.45","160,461.23","25.31M","2.42%"
"02/10/2026","160,461.23","159,835.30","161,728.78","157,477.81","22.98M","1.09%"
"02/09/2026","158,732.17","159,605.78","160,515.06","154,479.00","21.48M","0.81%"
"02/06/2026","157,456.80","150,652.13","157,929.91","150,173.25","35.32M","2.65%"
"02/05/2026","153,393.70","155,575.73","161,427.19","150,150.73","40.57M","-4.98%"
"02/04/2026","161,427.19","161,459.98","164,872.45","157,299.13","51.35M","2.62%"
"02/03/2026","157,299.13","156,218.78","159,328.13","150,841.41","47.79M","4.28%"
"02/02/2026","150,841.41","160,326.92","160,486.27","132,742.64","85.17M","-6.01%"
"01/30/2026","160,486.27","180,076.31","180,989.44","157,747.50","93.63M","-11.33%"
"01/29/2026","180,989.44","186,197.34","189,163.58","178,026.56","56.39M","-0.35%"
"01/28/2026","181,619.09","179,837.78","182,003.84","172,211.63","47.88M","5.46%"
"01/27/2026","172,211.63","176,798.94","180,094.70","172,211.63","38.54M","-4.38%"
"01/26/2026","180,094.70","174,733.45","180,094.70","169,535.16","41.10M","6.23%"
"01/23/2026","169,535.16","168,387.50","171,210.80","163,574.97","45.45M","3.64%"
"01/22/2026","163,574.97","163,905.63","166,295.95","162,069.81","42.88M","-1.64%"
"01/21/2026","166,295.95","168,844.94","170,502.38","164,979.86","50.18M","0.80%"
"01/20/2026","164,979.86","162,834.66","165,852.98","160,825.91","38.41M","2.58%"
"01/19/2026","160,825.91","161,107.48","161,986.30","157,952.55","23.04M","1.82%"
"01/16/2026","157,952.55","158,878.31","160,267.17","155,699.05","37.77M","-1.44%"
"01/15/2026","160,267.17","159,714.48","161,785.41","158,636.73","40.65M","-0.46%"
"01/14/2026","161,001.73","161,036.45","165,111.09","160,218.81","35.43M","0.49%"
"01/13/2026","160,218.81","155,064.17","160,300.31","155,064.17","36.72M","2.38%"
"01/12/2026","156,491.44","150,634.34","156,491.44","147,070.19","37.23M","6.41%"
"01/09/2026","147,070.19","145,961.52","147,801.03","143,017.95","25.06M","2.83%"
"01/08/2026","143,017.95","146,494.69","148,181.48","142,160.39","31.50M","-2.65%"
"01/07/2026","146,908.81","148,197.73","149,720.31","146,384.31","38.25M","-1.83%"
"01/06/2026","149,648.23","144,664.50","150,423.77","144,431.52","37.59M","2.61%"
"01/05/2026","145,843.02","143,701.20","145,846.06","141,928.78","28.49M","2.76%"
"01/02/2026","141,928.78","143,488.20","145,607.91","141,633.25","16.73M","0.10%"
"12/31/2025","141,790.55","141,583.47","142,011.45","139,918.34","","-1.71%"
"12/30/2025","144,259.25","141,471.80","146,423.16","141,471.80","22.12M","1.46%"
"12/29/2025","142,180.81","148,517.39","149,432.41","142,052.17","22.30M","-4.85%"
"12/24/2025","149,432.41","150,071.02","150,670.66","148,306.20","8.40M","0.76%"
"12/23/2025","148,306.20","150,216.81","151,008.34","147,954.09","27.49M","-0.38%"
"12/22/2025","148,875.88","146,168.77","149,209.14","140,941.05","32.65M","5.63%"
"12/19/2025","140,941.05","139,724.45","142,221.45","137,689.50","87.50M","0.27%"
"12/18/2025","140,566.52","141,555.50","143,015.95","138,681.03","69.59M","0.40%"
"12/17/2025","140,000.13","139,513.55","142,734.61","139,424.41","","1.59%"
"12/15/2025","137,804.27","140,722.38","141,597.55","137,695.14","29.86M","-2.45%"
"12/12/2025","141,270.69","140,057.91","142,471.31","135,626.84","58.01M","4.16%"
"12/11/2025","135,626.84","132,981.30","136,661.31","132,259.38","25.70M","2.15%"
"12/10/2025","132,778.55","132,954.28","133,950.69","131,540.75","23.38M","0.94%"
"12/09/2025","131,540.75","129,639.04","131,946.33","129,287.92","22.27M","-0.31%"
"12/08/2025","131,946.33","135,312.02","135,821.19","131,864.58","27.51M","-2.85%"
"12/05/2025","135,821.19","132,250.30","135,821.19","130,041.81","30.92M","4.44%"
"12/04/2025","130,041.81","131,323.86","132,609.66","129,255.40","24.76M","-1.94%"
"12/03/2025","132,609.66","132,770.73","134,165.23","131,596.88","29.31M","-0.62%"
"12/02/2025","133,436.44","134,463.22","137,087.77","133,212.22","31.70M","-2.66%"
"12/01/2025","137,087.77","134,716.64","138,152.16","133,216.55","41.09M","2.29%"
"11/28/2025","134,024.53","132,217.31","134,657.23","129,541.28","50.23M","3.46%"
"11/27/2025","129,541.28","133,639.08","134,161.73","129,541.28","33.38M","-0.86%"
"11/26/2025","130,669.73","128,337.03","131,260.31","126,626.19","32.13M","3.19%"
"11/25/2025","126,626.19","127,851.64","128,793.92","124,800.49","26.55M","1.24%"
"11/24/2025","125,071.44","122,701.01","125,186.89","121,323.22","77.85M","2.72%"
"11/21/2025","121,764.80","123,081.15","126,942.94","117,761.60","36.63M","-4.08%"
"11/20/2025","126,942.94","126,717.80","128,552.28","124,353.12","27.63M","-1.25%"
"11/19/2025","128,552.28","123,750.82","128,552.28","122,053.03","30.92M","5.32%"
"11/18/2025","122,053.03","120,606.47","125,009.67","117,329.90","34.41M","-2.37%"
"11/17/2025","125,009.67","123,791.55","125,460.52","123,032.52","20.18M","-0.31%"
"11/14/2025","125,398.25","127,420.26","129,293.01","121,726.37","27.69M","-3.01%"
"11/13/2025","129,293.01","131,159.52","134,459.59","128,632.83","28.28M","0.51%"
"11/12/2025","128,632.83","126,670.87","128,846.15","124,681.88","28.24M","2.27%"
"11/11/2025","125,774.25","125,003.76","127,396.38","123,228.80","32.95M","2.07%"
"11/10/2025","123,228.80","122,028.48","124,356.31","117,541.68","33.71M","4.84%"
"11/07/2025","117,541.68","116,541.87","118,651.27","116,514.54","30.24M","-0.73%"
"11/06/2025","118,408.86","116,177.18","118,826.30","114,960.82","32.11M","3.00%"
"11/05/2025","114,960.82","112,207.73","115,519.55","111,772.06","29.33M","2.85%"
"11/04/2025","111,772.06","114,611.48","117,526.21","110,841.36","37.74M","-4.90%"
"11/03/2025","117,526.21","118,161.04","119,603.21","116,247.75","23.17M","-1.18%"
"10/31/2025","118,933.27","119,089.87","120,516.06","118,249.65","27.53M","0.08%"
"10/30/2025","118,841.55","116,924.50","119,970.02","116,379.16","38.15M","0.83%"
"10/29/2025","117,860.29","115,662.30","120,848.59","114,218.56","37.33M","3.19%"
"10/28/2025","114,218.56","109,293.95","114,352.50","107,493.69","54.18M","2.70%"
"10/27/2025","111,214.22","119,611.26","121,333.89","111,214.22","33.88M","-8.34%"
"10/24/2025","121,333.89","121,632.37","121,875.48","118,096.96","21.34M","-0.44%"
"10/23/2025","121,870.03","118,960.92","122,650.65","116,062.64","36.40M","5.00%"
"10/22/2025","116,062.64","121,447.92","121,447.92","111,030.51","73.79M","-2.93%"
"10/21/2025","119,564.62","129,974.57","130,725.84","118,299.27","56.95M","-8.54%"
"10/20/2025","130,725.84","130,071.32","131,669.23","126,809.33","42.00M","-0.41%"
"10/17/2025","131,262.55","141,780.31","141,780.31","130,839.32","43.22M","-6.79%"
"10/16/2025","140,826.80","133,754.28","141,219.39","132,524.63","42.10M","6.26%"
"10/15/2025","132,524.63","133,828.70","134,398.64","129,808.59","32.74M","0.55%"
"10/14/2025","131,798.41","130,246.54","132,429.48","129,253.08","36.35M","0.20%"
"10/13/2025","131,539.97","128,785.66","132,373.48","125,370.85","40.33M","4.92%"
"10/10/2025","125,370.85","123,850.87","127,741.94","121,265.97","58.71M","-1.86%"
"10/09/2025","127,741.94","132,306.94","133,252.47","127,404.19","","-4.18%"
"10/08/2025","133,318.64","131,298.42","133,318.64","127,999.47","45.93M","4.16%"
"10/07/2025","127,999.47","128,085.58","129,485.65","126,866.49","44.44M","-1.15%"
"10/06/2025","129,485.65","130,077.64","131,781.11","127,762.83","38.38M","1.35%"
"10/03/2025","127,762.83","127,038.89","128,431.82","125,649.41","33.80M","1.68%"
"10/02/2025","125,649.41","128,417.63","130,384.29","125,119.37","40.06M","-2.51%"
"10/01/2025","128,889.96","127,148.52","130,688.58","127,129.37","58.36M","1.08%"
"09/30/2025","127,506.75","127,610.28","128,250.11","122,902.07","59.83M","1.00%"
"09/29/2025","126,241.69","128,620.88","129,331.05","125,039.71","46.36M","0.96%"
"09/26/2025","125,039.71","122,014.15","125,654.84","120,834.82","37.22M","3.48%"
"09/25/2025","120,834.82","120,510.06","123,468.83","119,324.88","52.54M","-2.13%"
"09/23/2025","123,468.83","121,439.39","123,774.09","119,373.74","56.57M","3.43%"
"09/22/2025","119,373.74","120,641.81","121,186.92","115,860.15","46.53M","3.03%"
"09/19/2025","115,860.15","111,766.22","116,067.83","110,608.85","137.65M","4.75%"
"09/18/2025","110,608.85","109,034.32","112,424.21","108,905.69","73.67M","-0.98%"
"09/17/2025","111,703.40","110,496.90","111,798.99","108,748.55","49.61M","0.12%"
"09/16/2025","111,566.41","113,109.27","114,068.45","111,289.05","45.40M","0.25%"
"09/15/2025","111,289.05","110,076.89","111,400.01","108,864.33","35.25M","0.63%"
"09/12/2025","110,588.90","110,684.20","112,173.27","109,264.78","61.12M","0.74%"
"09/11/2025","109,774.24","110,132.16","110,822.69","108,408.49","56.83M","-0.95%"
"09/10/2025","110,822.69","107,941.92","111,058.74","107,587.02","72.76M","3.01%"
"09/09/2025","107,587.02","109,801.41","110,159.81","106,792.92","74.80M","-0.79%"
"09/08/2025","108,439.62","105,188.70","108,523.34","104,255.41","64.49M","4.01%"
"09/05/2025","104,255.41","102,030.64","106,544.31","101,807.12","56.17M","2.40%"
"09/04/2025","101,807.12","104,762.58","106,184.89","101,739.71","171.81M","-4.12%"
"09/03/2025","106,184.89","103,477.48","106,807.24","101,389.55","67.51M","3.92%"
"09/02/2025","102,182.51","101,795.70","102,182.51","100,079.23","75.76M","1.18%"
"09/01/2025","100,992.73","99,008.49","101,908.09","96,441.35","65.31M","4.72%"
"08/29/2025","96,441.35","94,728.36","96,838.46","93,852.25","53.37M","1.28%"
"08/28/2025","95,218.89","97,358.82","97,754.03","93,869.36","51.78M","-2.37%"
"08/27/2025","97,532.21","98,683.17","98,923.44","96,489.04","39.53M","-0.83%"
"08/26/2025","98,352.33","97,923.40","98,869.67","97,210.30","291.58M","0.54%"
"08/25/2025","97,819.82","96,613.45","98,738.34","96,241.82","35.66M","1.64%"
"08/22/2025","96,241.82","96,791.16","97,612.46","93,901.23","35.68M","-0.77%"
"08/21/2025","96,986.91","94,280.80","97,447.59","93,468.50","38.81M","3.76%"
"08/20/2025","93,468.50","92,557.75","93,718.51","92,093.49","48.36M","-0.27%"
"08/19/2025","93,718.51","94,439.28","95,381.48","93,359.26","34.22M","-1.70%"
"08/18/2025","95,340.33","96,286.44","96,414.83","94,889.62","34.66M","-0.42%"
"08/15/2025","95,742.88","96,405.13","97,073.10","94,219.47","34.49M","-0.79%"
"08/14/2025","96,501.16","97,945.61","97,963.07","95,706.90","30.99M","-1.36%"
"08/13/2025","97,828.79","98,504.04","99,762.49","97,607.11","32.79M","-0.50%"
"08/12/2025","98,323.67","98,842.61","100,116.25","97,849.18","28.80M","-0.96%"
"08/11/2025","99,275.85","99,344.04","101,002.11","97,710.52","37.30M","-1.71%"
"08/08/2025","101,002.11","100,962.33","102,403.43","100,218.17","41.69M","0.55%"
"08/07/2025","100,454.30","100,116.60","101,914.02","99,218.68","43.18M","1.25%"
"08/06/2025","99,218.68","98,470.94","99,297.34","97,508.37","38.71M","1.48%"
"08/05/2025","97,767.70","95,317.23","97,767.70","94,266.02","50.90M","3.71%"
"08/04/2025","94,266.02","89,582.08","94,266.02","88,083.31","56.25M","5.63%"
"08/01/2025","89,242.28","85,813.59","89,242.28","84,179.55","56.37M","3.68%"
"07/31/2025","86,075.36","88,296.44","90,102.81","85,766.48","89.30M","-4.47%"
"07/30/2025","90,102.81","89,841.33","91,036.38","89,353.78","36.87M","0.10%"
"07/29/2025","90,012.19","89,850.43","90,181.32","88,693.84","45.04M","0.88%"
"07/28/2025","89,231.13","90,345.50","91,013.16","88,268.61","40.18M","-0.22%"
"07/25/2025","89,425.84","90,550.93","90,887.39","88,072.69","43.37M","-1.61%"
"07/24/2025","90,887.39","91,579.45","92,919.16","88,747.82","59.34M","-2.19%"
"07/23/2025","92,919.16","93,021.91","93,883.51","92,008.63","59.07M","0.02%"
"07/22/2025","92,904.89","91,613.34","93,025.84","89,789.85","70.45M","0.30%"
"07/21/2025","92,622.48","88,849.29","92,880.05","88,227.95","65.88M","4.98%"
"07/18/2025","88,227.95","87,311.81","90,060.72","86,179.17","66.62M","2.38%"
"07/17/2025","86,179.17","86,222.41","86,690.91","85,015.80","58.18M","0.54%"
"07/16/2025","85,718.95","86,746.07","87,320.03","85,373.86","44.19M","-1.83%"
"07/15/2025","87,320.03","87,758.47","88,439.08","86,768.81","42.96M","0.26%"
"07/14/2025","87,091.92","87,468.16","88,304.68","86,432.13","47.02M","0.76%"
"07/11/2025","86,432.13","84,976.67","86,659.28","83,971.68","43.57M","2.93%"
"07/10/2025","83,971.68","84,667.49","85,930.93","83,623.78","27.13M","0.02%"
"07/09/2025","83,956.41","82,664.74","83,956.41","81,711.73","28.64M","0.69%"
"07/08/2025","83,379.00","86,737.81","88,749.55","83,259.45","37.31M","-2.78%"
"07/07/2025","85,760.19","84,155.67","85,918.96","82,991.26","31.25M","0.42%"
"07/04/2025","85,404.47","83,614.07","85,404.47","82,638.13","18.92M","3.35%"
