observation_date,MYAGM2ZAM189N
1965-03-01,2886850000.0
1965-04-01,2949080000.0
1965-05-01,2954000000.0
1965-06-01,2975480000.0
1965-07-01,3018010000.0
1965-08-01,3024100000.0
1965-09-01,3082400000.0
1965-10-01,3150090000.0
1965-11-01,3184520000.0
1965-12-01,3267480000.0
1966-01-01,3201030000.0
1966-02-01,3208040000.0
1966-03-01,3166780000.0
1966-04-01,3210910000.0
1966-05-01,3243910000.0
1966-06-01,3322330000.0
1966-07-01,3381850000.0
1966-08-01,3354130000.0
1966-09-01,3396730000.0
1966-10-01,3404260000.0
1966-11-01,3405010000.0
1966-12-01,3469680000.0
1967-01-01,3406060000.0
1967-02-01,3374500000.0
1967-03-01,3422570000.0
1967-04-01,3416380000.0
1967-05-01,3413760000.0
1967-06-01,3524250000.0
1967-07-01,3481010000.0
1967-08-01,3506560000.0
1967-09-01,3533150000.0
1967-10-01,3585110000.0
1967-11-01,3635640000.0
1967-12-01,3700200000.0
1968-01-01,3666750000.0
1968-02-01,3632920000.0
1968-03-01,3689990000.0
1968-04-01,3728200000.0
1968-05-01,3741380000.0
1968-06-01,3816120000.0
1968-07-01,3814780000.0
1968-08-01,3902920000.0
1968-09-01,4010700000.0
1968-10-01,4077440000.0
1968-11-01,4332520000.0
1968-12-01,4310560000.0
1969-01-01,4247950000.0
1969-02-01,4291450000.0
1969-03-01,4266660000.0
1969-04-01,4261060000.0
1969-05-01,4292850000.0
1969-06-01,4337290000.0
1969-07-01,4310980000.0
1969-08-01,4372580000.0
1969-09-01,4525290000.0
1969-10-01,4563880000.0
1969-11-01,4545090000.0
1969-12-01,4687750000.0
1970-01-01,4594350000.0
1970-02-01,4618950000.0
1970-03-01,4814040000.0
1970-04-01,4881020000.0
1970-05-01,4891460000.0
1970-06-01,5065060000.0
1970-07-01,5039560000.0
1970-08-01,5007040000.0
1970-09-01,5088820000.0
1970-10-01,5107980000.0
1970-11-01,5104990000.0
1970-12-01,5206110000.0
1971-01-01,5045620000.0
1971-02-01,5060860000.0
1971-03-01,5120120000.0
1971-04-01,5150640000.0
1971-05-01,5188070000.0
1971-06-01,5282680000.0
1971-07-01,5235600000.0
1971-08-01,5267290000.0
1971-09-01,5366830000.0
1971-10-01,5406660000.0
1971-11-01,5424350000.0
1971-12-01,5528230000.0
1972-01-01,5368140000.0
1972-02-01,5447430000.0
1972-03-01,5459420000.0
1972-04-01,5496310000.0
1972-05-01,5524360000.0
1972-06-01,5704600000.0
1972-07-01,5770790000.0
1972-08-01,5795840000.0
1972-09-01,5956770000.0
1972-10-01,5972610000.0
1972-11-01,6089630000.0
1972-12-01,6275700000.0
1973-01-01,6112600000.0
1973-02-01,6247190000.0
1973-03-01,6449000000.0
1973-04-01,6675540000.0
1973-05-01,6797070000.0
1973-06-01,6921570000.0
1973-07-01,7034090000.0
1973-08-01,7002250000.0
1973-09-01,7280800000.0
1973-10-01,7195560000.0
1973-11-01,7286310000.0
1973-12-01,7551300000.0
1974-01-01,7472720000.0
1974-02-01,7638460000.0
1974-03-01,7857850000.0
1974-04-01,7890890000.0
1974-05-01,8087410000.0
1974-06-01,8253400000.0
1974-07-01,8241320000.0
1974-08-01,8206820000.0
1974-09-01,8434450000.0
1974-10-01,8607640000.0
1974-11-01,8862150000.0
1974-12-01,9131380000.0
1975-01-01,9111570000.0
1975-02-01,9205040000.0
1975-03-01,9451150000.0
1975-04-01,9601210000.0
1975-05-01,9564590000.0
1975-06-01,9765160000.0
1975-07-01,9885530000.0
1975-08-01,9931590000.0
1975-09-01,10276110000.0
1975-10-01,10309870000.0
1975-11-01,10556960000.0
1975-12-01,10799560000.0
1976-01-01,10715010000.0
1976-02-01,10759480000.0
1976-03-01,10997620000.0
1976-04-01,11267140000.0
1976-05-01,11256500000.0
1976-06-01,11605730000.0
1976-07-01,11606780000.0
1976-08-01,11513700000.0
1976-09-01,11756010000.0
1976-10-01,11801810000.0
1976-11-01,11874370000.0
1976-12-01,12005670000.0
1977-01-01,11797330000.0
1977-02-01,11794340000.0
1977-03-01,11894750000.0
1977-04-01,12192280000.0
1977-05-01,12400310000.0
1977-06-01,12651300000.0
1977-07-01,12542300000.0
1977-08-01,12495200000.0
1977-09-01,12742560000.0
1977-10-01,12626890000.0
1977-11-01,12818890000.0
1977-12-01,13009220000.0
1978-01-01,13170030000.0
1978-02-01,13148900000.0
1978-03-01,13367550000.0
1978-04-01,13696200000.0
1978-05-01,13899740000.0
1978-06-01,14060170000.0
1978-07-01,14443030000.0
1978-08-01,14583260000.0
1978-09-01,14093770000.0
1978-10-01,14778200000.0
1978-11-01,15063500000.0
1978-12-01,15191620000.0
1979-01-01,14904990000.0
1979-02-01,14888510000.0
1979-03-01,15118230000.0
1979-04-01,15225820000.0
1979-05-01,15395070000.0
1979-06-01,15257030000.0
1979-07-01,15705670000.0
1979-08-01,15773790000.0
1979-09-01,16067640000.0
1979-10-01,16446520000.0
1979-11-01,16816040000.0
1979-12-01,17346570000.0
1980-01-01,17135160000.0
1980-02-01,17221450000.0
1980-03-01,17843800000.0
1980-04-01,17632450000.0
1980-05-01,18070000000.0
1980-06-01,18572550000.0
1980-07-01,19405740000.0
1980-08-01,19441940000.0
1980-09-01,20335490000.0
1980-10-01,20675690000.0
1980-11-01,21235870000.0
1980-12-01,21706840000.0
1981-01-01,22274480000.0
1981-02-01,22386200000.0
1981-03-01,23272540000.0
1981-04-01,24086250000.0
1981-05-01,24213550000.0
