"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","19,200","17,500","19,438","17,448","11.48M","11.63%"
"03/12/2026","17,200","16,661","17,256","15,960","7.33M","5.88%"
"03/11/2026","16,245","15,300","16,245","15,100","5.50M","4.63%"
"03/10/2026","15,526","15,300","16,181","15,001","6.75M","-1.88%"
"03/09/2026","15,824","17,244","17,248","15,401","13.12M","4.77%"
"03/06/2026","15,103","14,600","15,750","14,404","7.81M","4.38%"
"03/05/2026","14,469","14,300","14,575","13,700","4.19M","4.24%"
"03/04/2026","13,881","14,725","14,829","13,500","6.21M","-4.92%"
"03/03/2026","14,600","14,850","15,547","14,446","6.35M","1.07%"
"03/02/2026","14,446","15,841","16,355","14,446","12.83M","-0.58%"
"02/27/2026","14,531","12,700","14,723","12,700","6.75M","16.06%"
"02/26/2026","12,520","13,689","13,689","12,516","4.87M","-8.47%"
"02/25/2026","13,679","14,114","14,226","13,679","2.95M","-4.13%"
"02/24/2026","14,268","14,000","14,469","13,744","2.49M","1.12%"
"02/23/2026","14,110","14,502","14,600","13,601","4.17M","0.07%"
"02/20/2026","14,100","14,365","14,922","13,978","3.87M","-1.00%"
"02/19/2026","14,242","12,940","14,570","12,940","7.04M","10.94%"
"02/18/2026","12,838","12,202","12,890","12,151","3.28M","4.37%"
"02/17/2026","12,301","12,111","12,643","12,111","2.30M","0.46%"
"02/16/2026","12,245","12,400","12,558","11,904","2.14M","-1.25%"
"02/13/2026","12,400","12,150","12,555","12,051","2.97M","-1.83%"
