"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","9,434","9,575","9,645","9,434","17.18K","-2.22%"
"03/12/2026","9,648","9,669","9,669","9,575","20.63K","0.02%"
"03/11/2026","9,646","9,647","9,702","9,575","12.04K","1.01%"
"03/10/2026","9,550","9,600","9,639","9,510","26.36K","0.02%"
"03/09/2026","9,548","9,599","9,646","9,501","11.63K","-0.53%"
"03/06/2026","9,599","9,614","9,669","9,500","10.05K","-0.16%"
"03/05/2026","9,614","9,522","9,674","9,522","6.01K","-0.58%"
"03/04/2026","9,670","9,590","9,703","9,585","13.85K","0.84%"
"03/03/2026","9,589","9,539","9,610","9,539","34.63K","0.52%"
"03/02/2026","9,539","9,569","9,569","9,450","52.61K","-0.13%"
"02/27/2026","9,551","9,550","9,570","9,500","72.22K","0.33%"
"02/26/2026","9,520","9,570","9,570","9,500","25.49K","0.11%"
"02/25/2026","9,510","9,572","9,574","9,500","6.01K","-0.42%"
"02/24/2026","9,550","9,501","9,550","9,501","69.93K","0.00%"
"02/23/2026","9,550","9,572","9,572","9,501","81.30K","0.42%"
"02/20/2026","9,510","9,575","9,575","9,500","9.53K","-0.02%"
"02/19/2026","9,512","9,550","9,575","9,501","28.59K","0.13%"
"02/18/2026","9,500","9,522","9,610","9,500","60.95K","-0.92%"
"02/17/2026","9,588","9,588","9,610","9,504","74.10K","0.00%"
"02/16/2026","9,588","9,503","9,594","9,500","7.07K","-1.08%"
"02/13/2026","9,693","9,550","9,693","9,500","24.84K","1.48%"
