Date	ActualValue	ForecastValue	PreviousValue
2026.02.27			
2026.01.30			
2025.12.31			
2025.11.28		5.11	6.07
2025.10.29	6.07	5.88	6.18
2025.09.30	6.18	6.72	6.75
2025.08.29	6.75	6.56	7.27
2025.07.29	7.27	7.14	6.86
2025.06.30	6.86	7.28	6.12
2025.05.30	6.12	4.42	5.75
2025.04.30	5.75	5.70	6.05
2025.03.31	6.05	8.35	7.10
2025.02.28	7.10	6.87	6.71
2025.01.30	6.71	6.57	7.77
2024.12.31	7.77	8.89	7.79
2024.11.29	7.79	8.25	7.25
2024.10.29	7.25	6.38	6.11
2024.09.30	6.11	6.13	5.88
2024.08.30	5.88	5.64	4.19
2024.07.29	4.19	3.58	4.72
2024.06.28	4.72	3.59	5.75
2024.05.31	5.75	7.46	6.85
2024.04.30	6.85	5.98	5.71
2024.03.28	5.71	6.26	6.61
2024.02.29	6.58	8.07	7.65
2024.01.30	7.63	5.97	5.46
2023.12.29	5.46	6.45	6.08
2023.11.29	6.08	5.08	7.67
2023.10.30	7.67	7.21	8.53
2023.09.29	8.52	10.42	9.30
2023.08.30	9.30	9.89	11.15
2023.07.31	11.15	8.83	10.30
2023.06.30	10.30	11.21	10.14
2023.05.30	10.14	9.83	8.90
2023.04.28	8.90	8.08	10.81
2023.03.30	10.81	8.75	9.57
2023.02.28	9.57	8.55	8.66
2023.01.31	8.66	8.09	8.76
2022.12.30	8.76	7.15	9.82
2022.11.29	9.82	8.86	8.75
2022.10.31	8.75	8.03	8.15
2022.09.29	8.15	7.63	8.15
2022.08.30	8.15	7.54	8.33
2022.07.29	8.33	7.62	7.24
2022.06.30	7.29	7.94	7.49
2022.05.31	7.50	7.62	8.43
2022.04.29	8.43	9.49	6.44
2022.03.30	6.44	5.41	5.65
2022.02.28	5.65	7.41	5.71
2022.01.31	5.71	6.53	6.36
2021.12.31	6.36	3.86	3.19
2021.11.30	3.19	6.78	4.01
2021.10.29	4.01	3.98	2.31
2021.09.30	2.31	2.35	1.93
2021.08.31	1.93	-1.12	0.12
2021.07.29	0.12	1.93	1.82
2021.06.30	1.82	1.28	2.02
2021.05.31	2.02	1.49	3.62
2021.04.30	3.62	7.88	7.48
2021.03.30	7.48	10.03	9.15
2021.02.26	9.15	9.42	9.48
2021.01.29	9.48	8.29	8.15
2020.12.31	8.18	9.39	9.83
2020.11.30	9.83	9.50	9.48
2020.10.29	9.48	10.48	10.87
2020.09.30	10.86	9.73	10.54
2020.08.31	10.46	9.94	11.06
2020.07.29	11.07	9.40	10.60
2020.06.30	10.26	10.56	10.47
2020.05.29	10.47	12.15	9.49
2020.04.30	9.49	5.49	7.69
2020.03.30	7.69	8.22	7.02
2020.02.28	7.02	4.26	6.15
2020.01.30	6.19	7.85	7.35
2019.12.31	7.35		7.28
2019.11.29	7.28		6.14
2019.10.29	6.11		7.45
2019.09.30	7.45		8.28
2019.08.30	8.28		8.99
2019.07.29	8.99		9.07
2019.06.28	9.07		8.77
2019.05.31	8.77		6.94
2019.04.30	6.95		5.30
2019.03.29	5.30		5.09
2019.02.28	5.09		5.56
2019.01.30	5.59		5.69
2018.12.31	5.69		5.99
2018.11.29	5.99		7.00
2018.10.29	7.00		6.95
2018.09.28	6.95		6.00
2018.08.30	6.00		5.77
2018.07.30	5.77		5.73
2018.06.29	5.73		6.39
2018.05.30	6.39		6.42
2018.04.30	6.42		6.89
2018.03.29	6.89		5.83
2018.02.28	5.83		6.42
2018.01.30	6.41		6.61
2017.12.29	6.61		5.01
2017.11.29	5.01		7.13
2017.10.30	6.72		6.48
2017.09.29	6.48		6.81
2017.08.30	6.81		5.96
2017.07.31	5.96		5.98
2017.06.30	5.98		5.34
2017.05.30	5.33		5.62
2017.04.28	5.62		6.62
2017.03.30	6.63		7.91
2017.02.28	7.91		6.07
2017.01.31	6.06		4.76
2016.12.30	4.76		6.62
2016.11.29	6.62		5.64
2016.10.31	5.64		5.48
2016.09.29	5.48		4.41
2016.08.31	4.41		5.70
2016.07.29	5.88		6.41
2016.06.30	7.79		9.02
2016.05.31	8.98		10.30
2016.04.29	10.30		10.25
2016.03.31	10.25		10.28
2016.02.29	10.28		10.47
2016.01.29	10.44		9.35
2015.12.31	9.35		9.74
2015.11.30	9.74		8.47
2015.10.29	8.47		10.02
2015.09.30	10.02		10.25
2015.08.31	10.25		8.77
2015.07.29	8.89		8.37
2015.06.30	8.37		8.38
2015.05.29	8.38		7.42
2015.04.30	7.42		8.11
2015.03.30	8.11		7.35
2015.02.27	7.35		7.32
2015.01.30	7.38		8.31
2014.12.31	8.31		8.01
2014.11.28	8.02		7.86
2014.10.29	7.85		6.41
2014.09.30	6.41		6.86
2014.08.29	6.86		
