"Date","Price","Open","High","Low","Change %"
"03/11/2026","149.46","149.46","151.45","149.46","-0.86%"
"03/10/2026","150.75","150.75","150.75","146.14","-3.74%"
"03/09/2026","156.60","156.60","156.60","156.59","1.07%"
"03/06/2026","154.94","154.94","156.73","154.94","4.35%"
"03/05/2026","148.48","148.48","150.79","148.48","1.51%"
"03/04/2026","146.27","146.27","146.27","143.98","-1.04%"
"03/03/2026","147.81","147.81","150.94","147.81","4.11%"
"03/02/2026","141.98","141.98","142.01","141.98","1.55%"
"02/27/2026","139.81","139.81","140.46","139.81","1.19%"
"02/26/2026","138.17","138.17","139.48","138.17","0.49%"
"02/25/2026","137.49","137.49","137.49","136.18","-1.79%"
"02/24/2026","139.99","139.99","139.99","139.99","0.72%"
"02/23/2026","138.98","138.98","139.70","138.98","-0.59%"
"02/20/2026","139.81","139.81","139.81","139.00","-0.13%"
"02/19/2026","139.99","139.99","140.81","139.99","1.21%"
"02/18/2026","138.32","138.32","138.32","138.00","0.12%"
"02/17/2026","138.16","138.16","138.82","138.16","0.12%"
"02/16/2026","137.99","137.99","137.99","137.99","-0.24%"
"02/13/2026","138.33","138.33","138.33","138.31","0.37%"
"02/12/2026","137.82","137.82","137.82","137.80","0.12%"
"02/11/2026","137.66","137.66","138.00","137.66","0.37%"
"02/10/2026","137.15","137.15","137.15","136.82","-0.96%"
"02/09/2026","138.48","138.48","138.48","137.65","-1.53%"
"02/06/2026","140.63","140.63","140.63","140.49","0.65%"
"02/05/2026","139.72","139.72","139.93","139.72","1.63%"
"02/04/2026","137.49","137.49","137.82","137.49","0.98%"
"02/03/2026","136.15","136.15","136.16","136.15","-0.48%"
"02/02/2026","136.81","136.81","136.83","136.81","-0.61%"
"01/30/2026","137.66","137.66","137.81","137.66","0.48%"
"01/29/2026","136.99","136.99","137.31","136.99","1.85%"
"01/28/2026","134.50","134.50","135.25","134.50","0.12%"
"01/27/2026","134.34","134.34","134.34","133.83","-0.85%"
"01/26/2026","135.49","135.49","135.49","134.99","0.24%"
"01/23/2026","135.16","135.16","135.49","135.16","0.01%"
"01/22/2026","135.15","135.15","135.15","134.34","-1.69%"
"01/21/2026","137.47","137.47","137.47","136.99","-1.43%"
"01/20/2026","139.46","139.46","139.46","138.98","-0.48%"
"01/19/2026","140.14","140.14","141.13","140.14","2.56%"
"01/16/2026","136.65","136.65","136.99","136.65","0.01%"
"01/15/2026","136.63","136.63","136.63","135.99","-0.62%"
"01/14/2026","137.49","137.49","138.80","137.49","1.35%"
"01/13/2026","135.66","135.66","135.82","135.66","-0.24%"
"01/12/2026","135.99","135.99","135.99","135.83","-0.12%"
"01/09/2026","136.15","136.15","136.15","135.66","0.61%"
"01/08/2026","135.32","135.32","135.82","135.32","0.36%"
"01/07/2026","134.83","134.83","135.32","134.83","1.62%"
"01/06/2026","132.68","132.68","133.50","132.68","0.64%"
"01/05/2026","131.84","131.84","131.84","131.34","-1.73%"
"01/02/2026","134.16","134.16","134.16","133.67","0.13%"
"01/01/2026","133.99","133.99","133.99","133.99","-0.37%"
"12/31/2025","134.49","134.49","134.49","134.00","-0.98%"
"12/30/2025","135.82","135.82","135.82","135.82","0.00%"
"12/29/2025","135.82","135.82","135.82","135.81","0.50%"
"12/26/2025","135.15","135.15","135.15","135.14","0.00%"
"12/25/2025","135.15","135.15","135.15","135.15","0.00%"
"12/24/2025","135.15","135.15","135.15","135.15","0.00%"
"12/23/2025","135.15","135.15","135.16","135.15","-0.37%"
"12/22/2025","135.65","135.65","135.65","135.49","-0.38%"
"12/19/2025","136.16","136.16","136.33","136.16","0.50%"
"12/18/2025","135.49","135.49","135.81","135.49","0.74%"
"12/17/2025","134.50","134.50","134.66","134.50","-0.73%"
"12/16/2025","135.49","135.49","135.49","135.32","-0.48%"
"12/15/2025","136.14","136.14","136.14","135.49","-1.44%"
"12/12/2025","138.13","138.13","138.13","137.48","-1.07%"
"12/11/2025","139.62","139.62","139.62","138.96","-0.59%"
"12/10/2025","140.45","140.45","140.45","139.79","0.83%"
"12/09/2025","139.30","139.30","140.13","139.30","1.21%"
"12/08/2025","137.64","137.64","138.15","137.64","-1.65%"
"12/05/2025","139.96","139.96","139.96","138.82","-0.12%"
"12/04/2025","140.13","140.13","140.30","140.13","-0.92%"
"12/03/2025","141.44","141.44","141.44","140.45","-1.62%"
"12/02/2025","143.77","143.77","143.77","143.43","-0.46%"
"12/01/2025","144.43","144.43","144.43","144.29","0.35%"
"11/28/2025","143.93","143.93","143.93","143.61","-1.59%"
"11/27/2025","146.26","146.26","146.26","146.26","-0.56%"
"11/26/2025","147.08","147.08","147.08","146.26","-0.46%"
"11/25/2025","147.76","147.76","148.56","147.76","0.69%"
"11/24/2025","146.74","146.74","146.74","145.75","0.56%"
"11/21/2025","145.93","145.93","147.23","145.93","2.03%"
"11/20/2025","143.02","143.02","143.02","143.00","-0.97%"
"11/19/2025","144.41","144.41","144.41","143.93","-1.14%"
"11/18/2025","146.09","146.09","146.09","145.90","1.15%"
"11/17/2025","144.42","144.42","144.42","144.09","5.21%"
"11/14/2025","137.26","137.26","137.26","137.26","-4.06%"
"11/13/2025","143.08","143.08","143.08","143.08","-3.12%"
"11/12/2025","147.68","147.68","147.68","145.73","-2.43%"
"11/11/2025","151.36","151.36","151.67","151.36","-0.76%"
"11/10/2025","152.52","152.52","152.52","151.05","-1.92%"
"11/07/2025","155.51","155.51","155.82","155.51","1.19%"
"11/06/2025","153.69","153.69","154.48","153.69","0.23%"
"11/05/2025","153.34","153.34","153.34","152.55","0.84%"
"11/04/2025","152.06","152.06","154.26","152.06","0.87%"
"11/03/2025","150.75","150.75","150.75","150.04","-0.40%"
"10/31/2025","151.36","151.36","151.42","151.36","0.55%"
"10/30/2025","150.52","150.52","151.19","150.52","-0.88%"
"10/29/2025","151.85","151.85","151.85","150.58","-1.39%"
"10/28/2025","153.99","153.99","153.99","152.85","-1.28%"
"10/27/2025","155.99","155.99","155.99","155.00","-3.87%"
"10/24/2025","162.27","162.27","162.27","160.80","0.10%"
"10/23/2025","162.11","162.11","162.29","162.11","-0.31%"
"10/22/2025","162.60","162.12","162.60","162.12","0.92%"
"10/21/2025","161.12","162.26","162.26","161.12","-2.11%"
"10/20/2025","164.59","166.23","166.23","164.59","-1.98%"
"10/17/2025","167.91","168.57","168.57","167.91","1.34%"
"10/16/2025","165.69","165.40","165.69","165.40","-0.74%"
"10/15/2025","166.92","168.87","168.87","166.92","-2.59%"
"10/14/2025","171.35","171.03","171.35","171.03","-0.12%"
"10/13/2025","171.55","173.29","173.29","171.55","-1.10%"
"10/10/2025","173.47","170.25","173.47","170.25","5.18%"
"10/09/2025","164.93","164.42","164.93","164.42","1.09%"
"10/08/2025","163.15","163.38","163.38","163.15","-0.97%"
"10/07/2025","164.75","164.27","164.75","164.27","1.00%"
