"Date","Price","Open","High","Low","Change %"
"02/22/2023","7.575","7.575","7.575","7.575","0.00%"
"02/20/2023","7.575","7.575","7.575","7.575","-0.07%"
"02/15/2023","7.580","100.005","100.005","7.580","-92.42%"
"02/14/2023","100.005","7.575","100.005","7.575","1,228.97%"
"02/13/2023","7.525","7.525","7.525","7.525","-0.53%"
"02/09/2023","7.565","7.565","7.565","7.565","-0.13%"
"02/08/2023","7.575","7.575","7.575","7.575","0.66%"
"02/07/2023","7.525","7.525","7.525","7.525","-0.66%"
"02/06/2023","7.575","7.525","7.575","7.525","0.40%"
"02/02/2023","7.545","7.545","7.545","7.545","-0.07%"
"02/01/2023","7.550","7.550","7.550","7.550","0.00%"
"01/31/2023","7.550","7.570","7.600","7.550","-0.40%"
"01/30/2023","7.580","7.600","7.600","7.565","-1.24%"
"01/27/2023","7.675","7.675","7.675","7.675","0.00%"
"01/26/2023","7.675","7.600","7.775","7.600","0.99%"
"01/25/2023","7.600","7.615","7.650","7.600","-0.98%"
"01/24/2023","7.675","7.500","7.675","7.470","2.74%"
"01/23/2023","7.470","7.495","7.495","7.470","-1.03%"
"01/21/2023","7.548","7.548","7.548","7.548","1.04%"
"01/20/2023","7.470","7.548","7.550","7.470","0.00%"
"01/19/2023","7.470","7.548","7.550","7.470","-1.06%"
"01/18/2023","7.550","7.544","7.550","7.544","0.00%"
"01/17/2023","7.550","7.548","7.550","7.500","0.33%"
"01/16/2023","7.525","7.530","7.550","7.500","-0.30%"
"01/14/2023","7.548","7.548","7.548","7.548","-0.03%"
"01/13/2023","7.550","7.500","7.550","7.500","0.67%"
"01/12/2023","7.500","7.500","7.500","7.500","0.00%"
"01/11/2023","7.500","7.520","7.520","7.500","0.00%"
"01/10/2023","7.500","7.515","7.550","7.500","0.81%"
"01/06/2023","7.440","7.440","7.440","7.440","0.00%"
"01/05/2023","7.440","7.440","7.440","7.440","0.00%"
"01/04/2023","7.440","7.420","7.440","7.420","0.54%"
"01/03/2023","7.400","7.425","7.425","7.400","0.00%"
"12/30/2022","7.400","7.400","7.400","7.400","0.00%"
"12/29/2022","7.400","7.400","7.400","7.400","0.00%"
"12/28/2022","7.400","7.375","7.425","7.350","0.14%"
"12/23/2022","7.390","7.390","7.390","7.390","-0.34%"
"12/22/2022","7.415","7.415","7.415","7.415","0.68%"
"12/21/2022","7.365","7.300","7.365","7.300","0.89%"
"12/20/2022","7.300","7.325","7.325","7.300","0.00%"
"12/19/2022","7.300","7.290","7.325","7.290","0.14%"
"12/15/2022","7.290","7.300","7.300","7.290","-0.14%"
"12/14/2022","7.300","7.300","7.325","7.300","0.00%"
"12/13/2022","7.300","7.310","7.310","7.300","0.00%"
"12/12/2022","7.300","7.320","7.330","7.300","0.00%"
"12/09/2022","7.300","7.300","7.300","7.285","0.00%"
"12/08/2022","7.300","7.295","7.300","7.280","0.27%"
"12/07/2022","7.280","7.260","7.280","7.260","0.28%"
"12/06/2022","7.260","7.260","7.260","7.260","0.00%"
"12/05/2022","7.260","7.275","7.275","7.240","-0.21%"
"12/02/2022","7.275","7.300","7.300","7.240","-0.34%"
"12/01/2022","7.300","7.265","7.300","7.240","0.34%"
"11/30/2022","7.275","7.290","7.300","7.275","-0.48%"
"11/29/2022","7.310","7.295","7.320","7.290","2.02%"
"11/25/2022","7.165","7.165","7.165","7.165","-1.85%"
"11/24/2022","7.300","7.290","7.320","7.290","0.00%"
"11/23/2022","7.300","7.320","7.335","7.195","-0.27%"
"11/22/2022","7.320","7.305","7.320","7.300","0.00%"
"11/21/2022","7.320","7.305","7.320","7.295","0.21%"
"11/18/2022","7.305","7.340","7.340","7.300","-0.20%"
"11/17/2022","7.320","7.300","7.320","7.300","0.27%"
"11/16/2022","7.300","7.300","7.330","7.300","0.00%"
"11/15/2022","7.300","7.280","7.300","7.280","0.48%"
"11/14/2022","7.265","7.315","7.315","7.265","0.00%"
"11/11/2022","7.265","7.240","7.265","7.240","-0.27%"
"11/10/2022","7.285","7.325","7.325","7.275","-0.61%"
"11/09/2022","7.330","7.230","7.330","7.230","0.76%"
"11/08/2022","7.275","7.220","7.335","7.220","0.69%"
"11/07/2022","7.225","7.250","7.265","7.220","-0.34%"
"11/04/2022","7.250","7.205","7.250","7.205","-0.96%"
"11/03/2022","7.320","7.320","7.320","7.320","0.62%"
"11/02/2022","7.275","7.275","7.275","7.275","0.76%"
"11/01/2022","7.220","7.200","7.220","7.200","0.28%"
"10/31/2022","7.200","7.215","7.225","7.200","1.91%"
"10/28/2022","7.065","7.240","7.240","7.065","-2.55%"
"10/27/2022","7.250","7.240","7.250","7.240","0.14%"
"10/26/2022","7.240","7.255","7.255","7.230","-0.14%"
"10/25/2022","7.250","7.250","7.250","7.250","0.14%"
"10/24/2022","7.240","7.245","7.245","7.240","0.35%"
"10/21/2022","7.215","7.240","7.290","7.190","0.21%"
"10/20/2022","7.200","7.160","7.200","7.160","0.14%"
"10/18/2022","7.190","7.210","7.220","7.190","-0.28%"
"10/17/2022","7.210","7.235","7.235","7.210","-0.62%"
"10/14/2022","7.255","7.255","7.255","7.255","0.76%"
"10/13/2022","7.200","7.220","7.220","7.200","0.00%"
"10/12/2022","7.200","7.210","7.220","7.200","-0.89%"
"10/10/2022","7.265","7.170","7.265","7.130","1.04%"
"10/07/2022","7.190","7.160","7.190","7.150","0.28%"
"10/06/2022","7.170","7.170","7.170","7.170","-0.21%"
"10/05/2022","7.185","7.150","7.185","7.150","0.56%"
"10/04/2022","7.145","7.200","7.200","7.145","-0.69%"
"10/03/2022","7.195","7.220","7.240","7.195","-0.35%"
"09/30/2022","7.220","7.215","7.220","7.200","-0.35%"
"09/29/2022","7.245","7.230","7.245","7.230","0.21%"
"09/28/2022","7.230","7.200","7.230","7.200","0.42%"
"09/27/2022","7.200","7.215","7.215","7.200","-1.37%"
"09/26/2022","7.300","7.300","7.300","7.300","4.73%"
