"Date","Price","Open","High","Low","Change %"
"2026/03/19","9.610","9.625","9.755","9.490","0.89%"
"2026/03/18","9.525","9.325","9.595","9.225","1.93%"
"2026/03/17","9.345","9.415","9.510","9.345","-0.85%"
"2026/03/16","9.425","9.385","9.495","9.370","0.27%"
"2026/03/13","9.400","9.265","9.430","9.265","1.46%"
"2026/03/12","9.265","9.195","9.265","9.155","1.59%"
"2026/03/11","9.120","8.940","9.120","8.940","0.88%"
"2026/03/10","9.040","9.130","9.130","8.930","-2.69%"
"2026/03/09","9.290","9.130","9.530","9.290","1.92%"
"2026/03/06","9.115","8.890","9.155","8.890","2.65%"
"2026/03/05","8.880","8.910","8.915","8.795","0.06%"
"2026/03/04","8.875","9.005","9.005","8.840","-1.50%"
"2026/03/03","9.010","8.820","9.025","8.820","2.33%"
"2026/03/02","8.805","8.560","8.895","8.545","1.79%"
"2026/02/27","8.650","8.560","8.695","8.545","0.99%"
"2026/02/26","8.565","8.510","8.565","8.410","0.59%"
"2026/02/25","8.515","8.650","8.770","8.515","-1.73%"
"2026/02/24","8.665","8.625","8.685","8.580","0.52%"
"2026/02/23","8.620","8.710","8.710","8.610","-1.09%"
"2026/02/20","8.715","8.730","8.760","8.705","-0.46%"
"2026/02/19","8.755","8.660","8.770","8.655","1.45%"
"2026/02/18","8.630","8.650","8.675","8.595","-0.35%"
"2026/02/17","8.660","8.690","8.705","8.635","-0.17%"
"2026/02/16","8.675","8.700","8.700","8.655","-0.46%"
"2026/02/13","8.715","8.700","8.755","8.700","0.23%"
"2026/02/12","8.695","8.675","8.735","8.655","0.17%"
"2026/02/11","8.680","8.710","8.730","8.665","-0.46%"
"2026/02/10","8.720","8.780","8.795","8.710","-0.80%"
"2026/02/09","8.790","8.795","8.835","8.770","-0.28%"
"2026/02/06","8.815","8.910","8.910","8.805","-1.01%"
"2026/02/05","8.905","8.895","8.945","8.870","0.28%"
"2026/02/04","8.880","8.850","8.920","8.850","0.28%"
"2026/02/03","8.855","8.930","8.935","8.790","-0.90%"
"2026/02/02","8.935","8.995","8.995","8.905","0.22%"
"2026/01/30","8.915","8.935","9.020","8.915","0.79%"
"2026/01/29","8.845","8.930","9.010","8.845","-1.72%"
"2026/01/28","9.000","9.075","9.075","8.985","-0.88%"
"2026/01/27","9.080","9.075","9.115","9.065","0.06%"
"2026/01/26","9.075","9.085","9.100","8.970","-0.17%"
"2026/01/23","9.090","9.175","9.175","9.065","-1.14%"
"2026/01/22","9.195","9.270","9.275","9.140","-0.86%"
"2026/01/21","9.275","9.390","9.390","9.265","-1.28%"
"2026/01/20","9.395","9.355","9.415","9.355","0.48%"
"2026/01/19","9.350","9.300","9.405","9.290","0.70%"
"2026/01/16","9.285","9.210","9.315","9.210","0.76%"
"2026/01/15","9.215","9.265","9.275","9.200","-0.49%"
"2026/01/14","9.260","9.300","9.315","9.210","-0.54%"
"2026/01/13","9.310","9.310","9.330","9.265","0.00%"
"2026/01/12","9.310","9.305","9.325","9.275","-0.32%"
"2026/01/09","9.340","9.340","9.385","9.325","-0.21%"
"2026/01/08","9.360","9.295","9.380","9.295","0.75%"
"2026/01/07","9.290","9.225","9.290","9.220","0.70%"
"2026/01/06","9.225","9.185","9.225","9.155","0.38%"
"2026/01/05","9.190","9.205","9.215","9.165","-0.43%"
"2026/01/02","9.230","9.180","9.250","9.180","0.44%"
"2025/12/31","9.190","9.190","9.210","9.165","-0.22%"
"2025/12/30","9.210","9.270","9.285","9.200","-0.70%"
"2025/12/29","9.275","9.330","9.335","9.270","-0.59%"
"2025/12/24","9.330","9.415","9.415","9.330","-0.74%"
"2025/12/23","9.400","9.430","9.440","9.390","-0.37%"
"2025/12/22","9.435","9.410","9.440","9.410","0.21%"
