"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2026","95.30","78.59","95.30","78.59","","21.26%"
"03/11/2026","78.59","76.33","78.59","76.33","","2.96%"
"03/10/2026","76.33","79.74","79.74","76.33","","-4.28%"
"03/09/2026","79.74","81.26","81.26","79.74","","-1.87%"
"03/06/2026","81.26","74.53","81.26","74.53","","9.03%"
"03/05/2026","74.53","70.03","74.53","70.03","","6.43%"
"03/04/2026","70.03","77.75","77.75","70.03","","-9.93%"
"03/03/2026","77.75","73.21","77.75","73.21","","6.20%"
"03/02/2026","73.21","73.38","73.38","73.21","","-0.23%"
"02/27/2026","73.38","63.93","73.38","63.93","","14.78%"
"02/26/2026","63.93","62.43","63.93","62.43","","2.40%"
"02/25/2026","62.43","65.27","65.27","62.43","","-4.35%"
"02/24/2026","65.27","68.03","68.03","65.27","","-4.06%"
"02/23/2026","68.03","64.27","68.03","64.27","","5.85%"
"02/20/2026","64.27","68.03","68.03","64.27","","-5.53%"
"02/19/2026","68.03","64.19","68.03","64.19","","5.98%"
"02/18/2026","64.19","68.84","68.84","64.19","","-6.75%"
"02/17/2026","68.84","70.10","70.10","68.84","","-1.80%"
"02/13/2026","70.10","68.57","70.10","68.57","","2.23%"
