"Date","Price","Open","High","Low","Change %"
"03/13/2026","4.270","4.262","4.283","4.233","-0.07%"
"03/12/2026","4.273","4.247","4.277","4.210","1.59%"
"03/11/2026","4.206","4.160","4.234","4.138","1.69%"
"03/10/2026","4.136","4.109","4.160","4.086","0.05%"
"03/09/2026","4.134","4.193","4.216","4.094","0.05%"
"03/06/2026","4.132","4.136","4.187","4.105","-0.34%"
"03/05/2026","4.146","4.094","4.150","4.092","1.57%"
"03/04/2026","4.082","4.063","4.100","4.044","0.62%"
"03/03/2026","4.057","4.033","4.117","4.031","0.12%"
"03/02/2026","4.052","3.932","4.067","3.926","2.27%"
"02/27/2026","3.962","4.002","4.006","3.943","-1.37%"
"02/26/2026","4.017","4.044","4.056","4.006","-0.77%"
"02/25/2026","4.048","4.035","4.060","4.031","0.37%"
"02/24/2026","4.033","4.035","4.048","4.023","0.15%"
"02/23/2026","4.027","4.075","4.083","4.017","-1.42%"
"02/20/2026","4.085","4.075","4.106","4.058","0.25%"
"02/19/2026","4.075","4.083","4.108","4.065","-0.15%"
"02/18/2026","4.081","4.058","4.088","4.048","0.67%"
"02/17/2026","4.054","4.044","4.062","4.018","0.30%"
"02/16/2026","4.042","4.050","4.059","4.022","-0.30%"
"02/15/2026","4.054","4.047","4.063","4.050","-0.05%"
"02/13/2026","4.056","4.098","4.127","4.046","-1.17%"
